Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$17,382.40","+$-6,268.13"
Performance,Total_Return,136.51%,73.82%,+-62.68%
Performance,Annualized_Return,18.80%,11.70%,+-7.10%
Risk,Sharpe_Ratio,N/A,2.88,N/A
Risk,Max_Drawdown,N/A,-6.88%,N/A
Trading,Win_Rate,N/A,22.94%,N/A
Trading,Total_Trades,N/A,109,N/A
Comparison,Alpha,1.00x,0.54x,-45.92%
Comparison,Excess_Return,0.00%,-62.68%,-62.68%
Comparison,Return_Ratio,1.00:1,0.54:1,N/A
