Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$19,057.31","+$-4,593.23"
Performance,Total_Return,136.51%,90.57%,+-45.93%
Performance,Annualized_Return,18.80%,13.78%,+-5.02%
Risk,Sharpe_Ratio,N/A,3.96,N/A
Risk,Max_Drawdown,N/A,-5.52%,N/A
Trading,Win_Rate,N/A,24.81%,N/A
Trading,Total_Trades,N/A,129,N/A
Comparison,Alpha,1.00x,0.66x,-33.65%
Comparison,Excess_Return,0.00%,-45.93%,-45.93%
Comparison,Return_Ratio,1.00:1,0.66:1,N/A
