Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$38,875.40","+$15,224.87"
Performance,Total_Return,136.51%,288.75%,+152.25%
Performance,Annualized_Return,18.80%,31.22%,+12.42%
Risk,Sharpe_Ratio,N/A,5.54,N/A
Risk,Max_Drawdown,N/A,-6.62%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,121,N/A
Comparison,Alpha,1.00x,2.12x,+111.53%
Comparison,Excess_Return,0.00%,+152.25%,+152.25%
Comparison,Return_Ratio,1.00:1,2.12:1,N/A
