Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$19,410.03","+$-4,240.50"
Performance,Total_Return,136.51%,94.10%,+-42.41%
Performance,Annualized_Return,18.80%,14.19%,+-4.61%
Risk,Sharpe_Ratio,N/A,3.54,N/A
Risk,Max_Drawdown,N/A,-8.84%,N/A
Trading,Win_Rate,N/A,26.85%,N/A
Trading,Total_Trades,N/A,108,N/A
Comparison,Alpha,1.00x,0.69x,-31.06%
Comparison,Excess_Return,0.00%,-42.41%,-42.41%
Comparison,Return_Ratio,1.00:1,0.69:1,N/A
