Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$36,766.48","+$13,115.94"
Performance,Total_Return,136.51%,267.66%,+131.16%
Performance,Annualized_Return,18.80%,29.77%,+10.97%
Risk,Sharpe_Ratio,N/A,6.08,N/A
Risk,Max_Drawdown,N/A,-5.80%,N/A
Trading,Win_Rate,N/A,24.81%,N/A
Trading,Total_Trades,N/A,129,N/A
Comparison,Alpha,1.00x,1.96x,+96.08%
Comparison,Excess_Return,0.00%,+131.16%,+131.16%
Comparison,Return_Ratio,1.00:1,1.96:1,N/A
