Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
001,QQQ-TQQQ,29652.54,1.965,0.438,-0.153,3.92,1.43,2.86,66,0.0,0.258,253.78,-26006.53,50,2.0,0.04,12,26,9,14,0.6
002,QQQ-TQQQ,29880.19,1.988,0.442,-0.141,4.09,1.5,3.14,66,0.0,0.258,209.35,-25764.69,50,2.0,0.04,12,26,9,14,0.5
003,QQQ-TQQQ,29481.71,1.948,0.435,-0.168,3.76,1.36,2.59,66,0.0,0.258,302.12,-26294.04,50,2.0,0.04,12,26,9,14,0.7
004,QQQ-TQQQ,38905.09,2.891,0.575,-0.169,4.36,1.53,3.41,66,0.0,0.258,278.93,-36809.35,50,2.0,0.05,12,26,9,14,0.6
005,QQQ-TQQQ,39295.37,2.930,0.58,-0.157,4.5,1.58,3.7,66,0.0,0.258,231.66,-36553.44,50,2.0,0.05,12,26,9,14,0.5
006,QQQ-TQQQ,38572.04,2.857,0.57,-0.18,4.22,1.48,3.17,66,0.0,0.258,328.05,-37101.48,50,2.0,0.05,12,26,9,14,0.7
007,QQQ-TQQQ,50669.78,4.067,0.72,-0.184,4.74,1.6,3.92,66,0.0,0.258,305.13,-50135.78,50,2.0,0.06,12,26,9,14,0.6
008,QQQ-TQQQ,50832.94,4.083,0.722,-0.173,4.83,1.63,4.16,66,0.0,0.258,249.88,-49551.18,50,2.0,0.06,12,26,9,14,0.5
009,QQQ-TQQQ,50322.91,4.032,0.716,-0.195,4.62,1.56,3.66,66,0.0,0.258,360.5,-50562.79,50,2.0,0.06,12,26,9,14,0.7
010,QQQ-TQQQ,20541.80,1.054,0.272,-0.137,3.14,1.19,1.98,66,0.01,0.258,229.22,-14821.6,50,3.0,0.04,12,26,9,14,0.6
011,QQQ-TQQQ,20770.51,1.077,0.277,-0.122,3.39,1.3,2.28,66,0.0,0.258,188.69,-14719.48,50,3.0,0.04,12,26,9,14,0.5
012,QQQ-TQQQ,20420.00,1.042,0.269,-0.154,2.93,1.09,1.75,66,0.01,0.258,269.69,-14996.73,50,3.0,0.04,12,26,9,14,0.7
013,QQQ-TQQQ,24705.09,1.471,0.353,-0.145,3.57,1.33,2.43,66,0.0,0.258,241.75,-20004.03,50,3.0,0.05,12,26,9,14,0.6
014,QQQ-TQQQ,24909.90,1.491,0.357,-0.129,3.77,1.42,2.76,66,0.0,0.258,197.75,-19831.85,50,3.0,0.05,12,26,9,14,0.5
015,QQQ-TQQQ,24550.63,1.455,0.35,-0.161,3.38,1.24,2.17,66,0.0,0.258,285.28,-20223.92,50,3.0,0.05,12,26,9,14,0.7
016,QQQ-TQQQ,29652.54,1.965,0.438,-0.153,3.92,1.43,2.86,66,0.0,0.258,253.78,-26006.53,50,3.0,0.06,12,26,9,14,0.6
017,QQQ-TQQQ,29880.19,1.988,0.442,-0.141,4.09,1.5,3.14,66,0.0,0.258,209.35,-25764.69,50,3.0,0.06,12,26,9,14,0.5
018,QQQ-TQQQ,29481.71,1.948,0.435,-0.168,3.76,1.36,2.59,66,0.0,0.258,302.12,-26294.04,50,3.0,0.06,12,26,9,14,0.7
019,QQQ-TQQQ,-7840.70,-1.784,,-1.0,,-0.09,,26,0.0,0.385,255.33,-48557.79,50,1.0,0.04,12,26,9,14,0.6
020,QQQ-TQQQ,-7748.86,-1.775,,-1.0,,-0.09,,26,0.0,0.385,208.1,-47796.79,50,1.0,0.04,12,26,9,14,0.5
021,QQQ-TQQQ,-7948.91,-1.795,,-1.0,,-0.08,,26,0.0,0.385,302.35,-49275.54,50,1.0,0.04,12,26,9,14,0.7
022,QQQ-TQQQ,-7657.02,-1.766,,-1.0,,-0.09,,25,0.0,0.4,261.35,-57128.9,50,1.0,0.05,12,26,9,14,0.6
023,QQQ-TQQQ,-7542.52,-1.754,,-1.0,,-0.09,,25,0.0,0.4,214.14,-56375.2,50,1.0,0.05,12,26,9,14,0.5
024,QQQ-TQQQ,-7756.87,-1.776,,-1.0,,-0.09,,25,0.0,0.4,309.98,-57973.83,50,1.0,0.05,12,26,9,14,0.7
025,QQQ-TQQQ,-6625.70,-1.663,,-1.0,,-0.1,,21,0.0,0.476,228.07,-41856.79,50,1.0,0.06,12,26,9,14,0.6
026,QQQ-TQQQ,-6549.34,-1.655,,-1.0,,-0.11,,21,0.0,0.476,188.02,-41300.8,50,1.0,0.06,12,26,9,14,0.5
027,QQQ-TQQQ,-6778.84,-1.678,,-1.0,,-0.1,,21,0.01,0.476,271.45,-42435.2,50,1.0,0.06,12,26,9,14,0.7
028,QQQ-TQQQ,23858.56,1.386,0.337,-0.144,3.5,1.31,2.35,66,0.0,0.258,239.83,-18951.41,50,2.5,0.04,12,26,9,14,0.6
029,QQQ-TQQQ,24001.95,1.400,0.34,-0.128,3.69,1.4,2.66,66,0.0,0.258,195.7,-18734.15,50,2.5,0.04,12,26,9,14,0.5
030,QQQ-TQQQ,23624.82,1.362,0.333,-0.16,3.29,1.21,2.08,66,0.01,0.258,281.18,-19100.12,50,2.5,0.04,12,26,9,14,0.7
031,QQQ-TQQQ,29652.54,1.965,0.438,-0.153,3.92,1.43,2.86,66,0.0,0.258,253.78,-26006.53,50,2.5,0.05,12,26,9,14,0.6
032,QQQ-TQQQ,29880.19,1.988,0.442,-0.141,4.09,1.5,3.14,66,0.0,0.258,209.35,-25764.69,50,2.5,0.05,12,26,9,14,0.5
