run_id,symbol_set,signal_symbol,bull_symbol,defense_symbol,ema_period,atr_stop_multiplier,risk_bull,macd_fast_period,macd_slow_period,macd_signal_period,atr_period,allocation_defense
062,QQQ-TQQQ,QQQ,TQQQ,QQQ,100,1.0,0.06,12,26,9,14,0.5
063,QQQ-TQQQ,QQQ,TQQQ,QQQ,100,1.0,0.06,12,26,9,14,0.7
064,QQQ-TQQQ,QQQ,TQQQ,QQQ,100,2.5,0.04,12,26,9,14,0.6
065,QQQ-TQQQ,QQQ,TQQQ,QQQ,100,2.5,0.04,12,26,9,14,0.5
066,QQQ-TQQQ,QQQ,TQQQ,QQQ,100,2.5,0.04,12,26,9,14,0.7
067,QQQ-TQQQ,QQQ,TQQQ,QQQ,100,2.5,0.05,12,26,9,14,0.6
068,QQQ-TQQQ,QQQ,TQQQ,QQQ,100,2.5,0.05,12,26,9,14,0.5
069,QQQ-TQQQ,QQQ,TQQQ,QQQ,100,2.5,0.05,12,26,9,14,0.7
070,QQQ-TQQQ,QQQ,TQQQ,QQQ,100,2.5,0.06,12,26,9,14,0.6
071,QQQ-TQQQ,QQQ,TQQQ,QQQ,100,2.5,0.06,12,26,9,14,0.5
072,QQQ-TQQQ,QQQ,TQQQ,QQQ,100,2.5,0.06,12,26,9,14,0.7
073,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.0,0.04,12,26,9,14,0.6
074,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.0,0.04,12,26,9,14,0.5
075,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.0,0.04,12,26,9,14,0.7
076,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.0,0.05,12,26,9,14,0.6
077,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.0,0.05,12,26,9,14,0.5
078,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.0,0.05,12,26,9,14,0.7
079,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.0,0.06,12,26,9,14,0.6
080,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.0,0.06,12,26,9,14,0.5
081,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.0,0.06,12,26,9,14,0.7
082,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,3.0,0.04,12,26,9,14,0.6
083,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,3.0,0.04,12,26,9,14,0.5
084,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,3.0,0.04,12,26,9,14,0.7
085,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,3.0,0.05,12,26,9,14,0.6
086,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,3.0,0.05,12,26,9,14,0.5
087,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,3.0,0.05,12,26,9,14,0.7
088,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,3.0,0.06,12,26,9,14,0.6
089,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,3.0,0.06,12,26,9,14,0.5
090,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,3.0,0.06,12,26,9,14,0.7
091,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,1.0,0.04,12,26,9,14,0.6
092,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,1.0,0.04,12,26,9,14,0.5
093,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,1.0,0.04,12,26,9,14,0.7
094,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,1.0,0.05,12,26,9,14,0.6
095,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,1.0,0.05,12,26,9,14,0.5
096,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,1.0,0.05,12,26,9,14,0.7
097,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,1.0,0.06,12,26,9,14,0.6
098,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,1.0,0.06,12,26,9,14,0.5
099,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,1.0,0.06,12,26,9,14,0.7
100,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.5,0.04,12,26,9,14,0.6
101,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.5,0.04,12,26,9,14,0.5
102,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.5,0.04,12,26,9,14,0.7
103,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.5,0.05,12,26,9,14,0.6
104,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.5,0.05,12,26,9,14,0.5
105,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.5,0.05,12,26,9,14,0.7
106,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.5,0.06,12,26,9,14,0.6
107,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.5,0.06,12,26,9,14,0.5
108,QQQ-TQQQ,QQQ,TQQQ,QQQ,75,2.5,0.06,12,26,9,14,0.7
109,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.0,0.04,12,26,9,14,0.6
110,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.0,0.04,12,26,9,14,0.5
111,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.0,0.04,12,26,9,14,0.7
112,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.0,0.05,12,26,9,14,0.6
113,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.0,0.05,12,26,9,14,0.5
114,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.0,0.05,12,26,9,14,0.7
115,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.0,0.06,12,26,9,14,0.6
116,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.0,0.06,12,26,9,14,0.5
117,QQQ-TQQQ,QQQ,TQQQ,QQQ,200,2.0,0.06,12,26,9,14,0.7
