Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
036,QQQ-TQQQ,4508483.56,449.848,0.481,-0.178,4.01,1.66,2.69,342,0.0,0.266,12509.27,-1504206.79,50,2.5,0.06,12,26,9,14,0.7
037,QQQ-TQQQ,2487918.41,247.792,0.425,-0.117,3.92,1.73,3.65,330,0.0,0.306,6785.46,-1047665.92,100,2.0,0.04,12,26,9,14,0.6
038,QQQ-TQQQ,2517085.81,250.709,0.426,-0.11,4.05,1.79,3.87,330,0.0,0.306,5809.98,-1071994.67,100,2.0,0.04,12,26,9,14,0.5
039,QQQ-TQQQ,2454175.14,244.418,0.424,-0.132,3.79,1.65,3.22,330,0.0,0.306,7692.08,-1022586.33,100,2.0,0.04,12,26,9,14,0.7
040,QQQ-TQQQ,4706507.52,469.651,0.485,-0.132,3.92,1.64,3.67,321,0.0,0.315,11000.51,-1952911.18,100,2.0,0.05,12,26,9,14,0.6
041,QQQ-TQQQ,4762017.93,475.202,0.486,-0.126,4.01,1.67,3.86,321,0.0,0.315,9418.5,-2001080.34,100,2.0,0.05,12,26,9,14,0.5
042,QQQ-TQQQ,4643810.08,463.381,0.483,-0.138,3.81,1.59,3.49,321,0.0,0.315,12473.66,-1903732.72,100,2.0,0.05,12,26,9,14,0.7
043,QQQ-TQQQ,5868062.47,585.806,0.506,-0.147,3.82,1.57,3.45,304,0.0,0.332,12104.19,-2560913.03,100,2.0,0.06,12,26,9,14,0.6
044,QQQ-TQQQ,5938706.25,592.871,0.507,-0.141,3.9,1.6,3.61,304,0.0,0.332,10363.96,-2627200.45,100,2.0,0.06,12,26,9,14,0.5
045,QQQ-TQQQ,5789834.32,577.983,0.505,-0.153,3.73,1.54,3.3,304,0.0,0.332,13727.12,-2493965.11,100,2.0,0.06,12,26,9,14,0.7
046,QQQ-TQQQ,417335.05,40.734,0.271,-0.111,3.24,1.48,2.43,331,0.0,0.305,1526.55,-229085.57,100,3.0,0.04,12,26,9,14,0.6
047,QQQ-TQQQ,422588.22,41.259,0.272,-0.095,3.43,1.6,2.87,331,0.0,0.305,1306.88,-233144.55,100,3.0,0.04,12,26,9,14,0.5
048,QQQ-TQQQ,412081.27,40.208,0.27,-0.128,3.05,1.36,2.11,331,0.0,0.305,1733.71,-225116.4,100,3.0,0.04,12,26,9,14,0.7
049,QQQ-TQQQ,1039062.76,102.906,0.347,-0.113,3.62,1.63,3.06,331,0.0,0.305,3238.56,-487996.02,100,3.0,0.05,12,26,9,14,0.6
050,QQQ-TQQQ,1050925.40,104.093,0.348,-0.099,3.78,1.72,3.52,331,0.0,0.305,2771.19,-497948.47,100,3.0,0.05,12,26,9,14,0.5
051,QQQ-TQQQ,1025609.58,101.561,0.346,-0.13,3.46,1.53,2.67,331,0.0,0.305,3674.64,-477901.75,100,3.0,0.05,12,26,9,14,0.7
