Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$20,780.90","+$-2,869.63"
Performance,Total_Return,136.51%,107.81%,+-28.70%
Performance,Annualized_Return,18.80%,15.76%,+-3.04%
Risk,Sharpe_Ratio,N/A,3.67,N/A
Risk,Max_Drawdown,N/A,-6.95%,N/A
Trading,Win_Rate,N/A,22.94%,N/A
Trading,Total_Trades,N/A,109,N/A
Comparison,Alpha,1.00x,0.79x,-21.02%
Comparison,Excess_Return,0.00%,-28.70%,-28.70%
Comparison,Return_Ratio,1.00:1,0.79:1,N/A
