Date,Portfolio_Total_Value,Portfolio_Day_Change_Pct,Portfolio_Overall_Return,Portfolio_PL_Percent,Baseline_QQQ_Value,Baseline_QQQ_Return_Pct,Cash,BuyHold_QQQ_Value,QQQ_Qty,QQQ_Value,TQQQ_Qty,TQQQ_Value
2020-01-01,10000.00,0.0000,0.0000,0.0000,10000.00,0.0000,10000.00,10000.00,0,0.00,0,0.00
2020-01-02,10000.00,0.0000,0.0000,0.0000,9908.40,-0.9160,10000.00,9908.40,0,0.00,0,0.00
2020-01-05,10000.00,0.0000,0.0000,0.0000,9972.24,-0.2776,10000.00,9972.24,0,0.00,0,0.00
2020-01-06,10000.00,0.0000,0.0000,0.0000,9970.85,-0.2915,10000.00,9970.85,0,0.00,0,0.00
2020-01-07,10000.00,0.0000,0.0000,0.0000,10045.80,0.4580,10000.00,10045.80,0,0.00,0,0.00
2020-01-08,10000.00,0.0000,0.0000,0.0000,10130.92,1.3092,10000.00,10130.92,0,0.00,0,0.00
2020-01-09,10000.00,0.0000,0.0000,0.0000,10105.01,1.0501,10000.00,10105.01,0,0.00,0,0.00
2020-01-12,10000.00,0.0000,0.0000,0.0000,10221.60,2.2160,10000.00,10221.60,0,0.00,0,0.00
2020-01-13,10000.00,0.0000,0.0000,0.0000,10181.35,1.8135,10000.00,10181.35,0,0.00,0,0.00
2020-01-14,10000.00,0.0000,0.0000,0.0000,10185.51,1.8551,10000.00,10185.51,0,0.00,0,0.00
2020-01-15,10000.00,0.0000,0.0000,0.0000,10283.12,2.8312,10000.00,10283.12,0,0.00,0,0.00
2020-01-16,10000.00,0.0000,0.0000,0.0000,10334.01,3.3401,10000.00,10334.01,0,0.00,0,0.00
2020-01-20,10000.00,0.0000,0.0000,0.0000,10329.39,3.2939,10000.00,10329.39,0,0.00,0,0.00
2020-01-21,10000.00,0.0000,0.0000,0.0000,10356.68,3.5668,10000.00,10356.68,0,0.00,0,0.00
2020-01-22,10000.00,0.0000,0.0000,0.0000,10389.99,3.8999,10000.00,10389.99,0,0.00,0,0.00
2020-01-23,10000.00,0.0000,0.0000,0.0000,10302.55,3.0255,10000.00,10302.55,0,0.00,0,0.00
2020-01-26,10000.00,0.0000,0.0000,0.0000,10089.75,0.8975,10000.00,10089.75,0,0.00,0,0.00
2020-01-27,10000.00,0.0000,0.0000,0.0000,10244.73,2.4473,10000.00,10244.73,0,0.00,0,0.00
2020-01-28,10000.00,0.0000,0.0000,0.0000,10261.38,2.6138,10000.00,10261.38,0,0.00,0,0.00
2020-01-29,10000.00,0.0000,0.0000,0.0000,10297.93,2.9793,10000.00,10297.93,0,0.00,0,0.00
2020-01-30,10000.00,0.0000,0.0000,0.0000,10134.62,1.3462,10000.00,10134.62,0,0.00,0,0.00
2020-02-02,10000.00,0.0000,0.0000,0.0000,10287.75,2.8775,10000.00,10287.75,0,0.00,0,0.00
2020-02-03,10000.00,0.0000,0.0000,0.0000,10523.22,5.2322,10000.00,10523.22,0,0.00,0,0.00
2020-02-04,10000.00,0.0000,0.0000,0.0000,10557.92,5.5792,10000.00,10557.92,0,0.00,0,0.00
2020-02-05,10000.00,0.0000,0.0000,0.0000,10649.06,6.4906,10000.00,10649.06,0,0.00,0,0.00
2020-02-06,10000.00,0.0000,0.0000,0.0000,10603.26,6.0326,10000.00,10603.26,0,0.00,0,0.00
2020-02-09,10000.00,0.0000,0.0000,0.0000,10731.40,7.3140,10000.00,10731.40,0,0.00,0,0.00
2020-02-10,10000.00,0.0000,0.0000,0.0000,10733.25,7.3325,10000.00,10733.25,0,0.00,0,0.00
2020-02-11,10000.00,0.0000,0.0000,0.0000,10837.81,8.3781,10000.00,10837.81,0,0.00,0,0.00
2020-02-12,10000.00,0.0000,0.0000,0.0000,10823.93,8.2393,10000.00,10823.93,0,0.00,0,0.00
2020-02-13,10000.00,0.0000,0.0000,0.0000,10854.92,8.5492,10000.00,10854.92,0,0.00,0,0.00
2020-02-17,10000.00,0.0000,0.0000,0.0000,10859.09,8.5909,10000.00,10859.09,0,0.00,0,0.00
2020-02-18,10000.00,0.0000,0.0000,0.0000,10963.18,9.6318,10000.00,10963.18,0,0.00,0,0.00
2020-02-19,10000.00,0.0000,0.0000,0.0000,10861.40,8.6140,10000.00,10861.40,0,0.00,0,0.00
2020-02-20,10000.00,0.0000,0.0000,0.0000,10652.76,6.5276,10000.00,10652.76,0,0.00,0,0.00
2020-02-23,10000.00,0.0000,0.0000,0.0000,10241.95,2.4195,10000.00,10241.95,0,0.00,0,0.00
2020-02-24,10000.00,0.0000,0.0000,0.0000,9963.45,-0.3655,10000.00,9963.45,0,0.00,0,0.00
2020-02-25,10000.00,0.0000,0.0000,0.0000,10014.80,0.1480,10000.00,10014.80,0,0.00,0,0.00
2020-02-26,10000.00,0.0000,0.0000,0.0000,9513.32,-4.8668,10000.00,9513.32,0,0.00,0,0.00
2020-02-27,10000.00,0.0000,0.0000,0.0000,9520.73,-4.7927,10000.00,9520.73,0,0.00,0,0.00
2020-03-01,10000.00,0.0000,0.0000,0.0000,10012.03,0.1203,10000.00,10012.03,0,0.00,0,0.00
2020-03-02,10000.00,0.0000,0.0000,0.0000,9690.97,-3.0903,10000.00,9690.97,0,0.00,0,0.00
2020-03-03,10000.00,0.0000,0.0000,0.0000,10095.30,0.9530,10000.00,10095.30,0,0.00,0,0.00
2020-03-04,10000.00,0.0000,0.0000,0.0000,9788.58,-2.1142,10000.00,9788.58,0,0.00,0,0.00
2020-03-05,10000.00,0.0000,0.0000,0.0000,9623.43,-3.7657,10000.00,9623.43,0,0.00,0,0.00
2020-03-08,10000.00,0.0000,0.0000,0.0000,8954.94,-10.4506,10000.00,8954.94,0,0.00,0,0.00
2020-03-09,10000.00,0.0000,0.0000,0.0000,9442.54,-5.5746,10000.00,9442.54,0,0.00,0,0.00
2020-03-10,10000.00,0.0000,0.0000,0.0000,9031.27,-9.6873,10000.00,9031.27,0,0.00,0,0.00
2020-03-11,10000.00,0.0000,0.0000,0.0000,8203.18,-17.9682,10000.00,8203.18,0,0.00,0,0.00
2020-03-12,10000.00,0.0000,0.0000,0.0000,8898.04,-11.0196,10000.00,8898.04,0,0.00,0,0.00
2020-03-15,10000.00,0.0000,0.0000,0.0000,7832.16,-21.6784,10000.00,7832.16,0,0.00,0,0.00
2020-03-16,10000.00,0.0000,0.0000,0.0000,8426.17,-15.7383,10000.00,8426.17,0,0.00,0,0.00
2020-03-17,10000.00,0.0000,0.0000,0.0000,8169.87,-18.3013,10000.00,8169.87,0,0.00,0,0.00
2020-03-18,10000.00,0.0000,0.0000,0.0000,8218.91,-17.8109,10000.00,8218.91,0,0.00,0,0.00
2020-03-19,10000.00,0.0000,0.0000,0.0000,7896.93,-21.0307,10000.00,7896.93,0,0.00,0,0.00
2020-03-22,10000.00,0.0000,0.0000,0.0000,7885.83,-21.1417,10000.00,7885.83,0,0.00,0,0.00
2020-03-23,10000.00,0.0000,0.0000,0.0000,8496.48,-15.0352,10000.00,8496.48,0,0.00,0,0.00
2020-03-24,10000.00,0.0000,0.0000,0.0000,8433.57,-15.6643,10000.00,8433.57,0,0.00,0,0.00
2020-03-25,10000.00,0.0000,0.0000,0.0000,8877.68,-11.2232,10000.00,8877.68,0,0.00,0,0.00
2020-03-26,10000.00,0.0000,0.0000,0.0000,8572.35,-14.2765,10000.00,8572.35,0,0.00,0,0.00
2020-03-29,10000.00,0.0000,0.0000,0.0000,8884.16,-11.1584,10000.00,8884.16,0,0.00,0,0.00
2020-03-30,10000.00,0.0000,0.0000,0.0000,8808.29,-11.9171,10000.00,8808.29,0,0.00,0,0.00
2020-03-31,10000.00,0.0000,0.0000,0.0000,8434.03,-15.6597,10000.00,8434.03,0,0.00,0,0.00
2020-04-01,10000.00,0.0000,0.0000,0.0000,8605.20,-13.9480,10000.00,8605.20,0,0.00,0,0.00
2020-04-02,10000.00,0.0000,0.0000,0.0000,8483.07,-15.1693,10000.00,8483.07,0,0.00,0,0.00
2020-04-05,10000.00,0.0000,0.0000,0.0000,9089.56,-9.1044,10000.00,9089.56,0,0.00,0,0.00
2020-04-06,10000.00,0.0000,0.0000,0.0000,9085.86,-9.1414,10000.00,9085.86,0,0.00,0,0.00
2020-04-07,10000.00,0.0000,0.0000,0.0000,9278.77,-7.2123,10000.00,9278.77,0,0.00,0,0.00
2020-04-08,10000.00,0.0000,0.0000,0.0000,9292.19,-7.0781,10000.00,9292.19,0,0.00,0,0.00
2020-04-12,10000.00,0.0000,0.0000,0.0000,9392.58,-6.0742,10000.00,9392.58,0,0.00,0,0.00
2020-04-13,10000.00,0.0000,0.0000,0.0000,9801.07,-1.9893,10000.00,9801.07,0,0.00,0,0.00
2020-04-14,10105.03,1.0503,1.0503,1.0503,9688.66,-3.1134,9178.33,9688.66,0,0.00,58,926.70
2020-04-15,10103.52,-0.0149,1.0352,1.0352,9865.38,-1.3462,10103.52,9865.38,0,0.00,0,0.00
2020-04-16,10147.64,0.4366,1.4764,1.4764,9959.75,-0.4025,9252.51,9959.75,0,0.00,55,895.12
2020-04-19,10170.05,0.2209,1.7005,1.7005,9841.78,-1.5822,9252.51,9841.78,0,0.00,55,917.54
2020-04-20,10140.35,-0.2920,1.4035,1.4035,9478.63,-5.2137,9252.51,9478.63,0,0.00,55,887.84
2020-04-21,10138.91,-0.0142,1.3891,1.3891,9759.90,-2.4010,10138.91,9759.90,0,0.00,0,0.00
2020-04-22,10138.91,0.0000,1.3891,1.3891,9739.08,-2.6092,10138.91,9739.08,0,0.00,0,0.00
2020-04-23,10138.91,0.0000,1.3891,1.3891,9892.67,-1.0733,10138.91,9892.67,0,0.00,0,0.00
2020-04-26,10183.83,0.4430,1.8383,1.8383,9972.24,-0.2776,9174.78,9972.24,0,0.00,62,1009.05
2020-04-27,10203.51,0.1933,2.0351,2.0351,9784.42,-2.1558,9174.78,9784.42,0,0.00,62,1028.74
2020-04-28,10201.86,-0.0162,2.0186,2.0186,10131.38,1.3138,10201.86,10131.38,0,0.00,0,0.00
2020-04-29,10304.70,1.0080,3.0470,3.0470,10127.22,1.2722,9195.74,10127.22,0,0.00,64,1108.96
2020-04-30,10312.06,0.0714,3.1206,3.1206,9841.78,-1.5822,9195.74,9841.78,0,0.00,64,1116.32
2020-05-03,10211.90,-0.9713,2.1190,2.1190,9956.51,-0.4349,9195.74,9956.51,0,0.00,64,1016.16
2020-05-04,10247.74,0.3510,2.4774,2.4774,10069.39,0.6939,9195.74,10069.39,0,0.00,64,1052.00
2020-05-05,10281.34,0.3279,2.8134,2.8134,10131.38,1.3138,9195.74,10131.38,0,0.00,64,1085.60
2020-05-06,10302.78,0.2085,3.0278,3.0278,10261.84,2.6184,9195.74,10261.84,0,0.00,64,1107.04
2020-05-07,10345.98,0.4193,3.4598,3.4598,10402.48,4.0248,9195.74,10402.48,0,0.00,64,1150.24
2020-05-10,10392.38,0.4485,3.9238,3.9238,10495.47,4.9547,9195.74,10495.47,0,0.00,64,1196.64
2020-05-11,10422.14,0.2864,4.2214,4.2214,10275.72,2.7572,9195.74,10275.72,0,0.00,64,1226.40
2020-05-12,10349.18,-0.7000,3.4918,3.4918,10147.11,1.4711,9195.74,10147.11,0,0.00,64,1153.44
2020-05-13,10305.50,-0.4221,3.0550,3.0550,10262.31,2.6231,9195.74,10262.31,0,0.00,64,1109.76
2020-05-14,10297.49,-0.0777,2.9749,2.9749,10328.92,3.2892,4308.08,10328.92,27,5989.41,0,0.00
2020-05-17,10336.37,0.3776,3.3637,3.3637,10521.37,5.2137,4308.08,10521.37,27,6028.29,0,0.00
2020-05-18,10510.05,1.6802,5.1005,5.1005,10495.00,4.9500,9237.73,10495.00,0,0.00,66,1272.32
2020-05-19,10500.31,-0.0926,5.0031,5.0031,10704.57,7.0457,9237.73,10704.57,0,0.00,66,1262.58
2020-05-20,10574.23,0.7040,5.7423,5.7423,10587.99,5.8799,9237.73,10587.99,0,0.00,66,1336.50
2020-05-21,10533.15,-0.3885,5.3315,5.3315,10624.54,6.2454,9237.73,10624.54,0,0.00,66,1295.42
2020-05-25,10544.86,0.1112,5.4486,5.4486,10595.85,5.9585,9237.73,10595.85,0,0.00,66,1307.13
2020-05-26,10539.42,-0.0516,5.3942,5.3942,10653.68,6.5368,9237.73,10653.68,0,0.00,66,1301.68
2020-05-27,10557.73,0.1738,5.5773,5.5773,10639.80,6.3980,9237.73,10639.80,0,0.00,66,1320.00
2020-05-28,10549.27,-0.0801,5.4927,5.4927,10795.71,7.9571,4339.54,10795.71,27,6209.73,0,0.00
2020-05-31,10689.79,1.3320,6.8979,6.8979,10828.09,8.2809,9220.62,10828.09,0,0.00,71,1469.17
2020-06-01,10707.90,0.1694,7.0790,7.0790,10900.72,9.0072,9220.62,10900.72,0,0.00,71,1487.27
2020-06-02,10737.54,0.2768,7.3754,7.3754,10949.76,9.4976,9220.62,10949.76,0,0.00,71,1516.92
2020-06-03,10758.13,0.1918,7.5813,7.5813,10872.96,8.7296,9220.62,10872.96,0,0.00,71,1537.50
2020-06-04,10726.89,-0.2904,7.2689,7.2689,11088.55,10.8855,9220.62,11088.55,0,0.00,71,1506.26
2020-06-07,10816.17,0.8323,8.1617,8.1617,11174.59,11.7459,9220.62,11174.59,0,0.00,71,1595.55
2020-06-08,10851.67,0.3282,8.5167,8.5167,11255.55,12.5555,9220.62,11255.55,0,0.00,71,1631.05
2020-06-09,10888.06,0.3353,8.8806,8.8806,11390.64,13.9064,9220.62,11390.64,0,0.00,71,1667.44
2020-06-10,10948.23,0.5526,9.4823,9.4823,10826.24,8.2624,9220.62,10826.24,0,0.00,71,1727.61
2020-06-11,10945.79,-0.0223,9.4579,9.4579,10912.29,9.1229,10945.79,10912.29,0,0.00,0,0.00
2020-06-14,10945.79,0.0000,9.4579,9.4579,11045.06,10.4506,10945.79,11045.06,0,0.00,0,0.00
2020-06-15,10945.79,0.0000,9.4579,9.4579,11234.73,12.3473,10945.79,11234.73,0,0.00,0,0.00
2020-06-16,10945.79,0.0000,9.4579,9.4579,11270.36,12.7036,10945.79,11270.36,0,0.00,0,0.00
2020-06-17,10945.79,0.0000,9.4579,9.4579,11300.89,13.0089,10945.79,11300.89,0,0.00,0,0.00
2020-06-18,10945.79,0.0000,9.4579,9.4579,11299.04,12.9904,10945.79,11299.04,0,0.00,0,0.00
2020-06-21,10945.79,0.0000,9.4579,9.4579,11414.69,14.1469,10945.79,11414.69,0,0.00,0,0.00
2020-06-22,10945.79,0.0000,9.4579,9.4579,11511.84,15.1184,10945.79,11511.84,0,0.00,0,0.00
2020-06-23,10983.04,0.3402,9.8304,9.8304,11274.52,12.7452,9436.14,11274.52,0,0.00,62,1546.90
2020-06-24,10980.87,-0.0197,9.8087,9.8087,11381.85,13.8185,10980.87,11381.85,0,0.00,0,0.00
2020-06-25,10980.87,0.0000,9.8087,9.8087,11113.06,11.1306,10980.87,11113.06,0,0.00,0,0.00
2020-06-28,10980.87,0.0000,9.8087,9.8087,11234.27,12.3427,10980.87,11234.27,0,0.00,0,0.00
2020-06-29,10974.04,-0.0622,9.7404,9.7404,11454.48,14.5448,4417.36,11454.48,27,6556.68,0,0.00
2020-06-30,11102.56,1.1711,11.0256,11.0256,11588.18,15.8818,4417.36,11588.18,27,6685.20,0,0.00
2020-07-01,11180.59,0.7028,11.8059,11.8059,11666.82,16.6682,4417.36,11666.82,27,6763.23,0,0.00
2020-07-05,11226.49,0.4105,12.2649,12.2649,11953.65,19.5365,4417.36,11953.65,27,6809.13,0,0.00
2020-07-06,11489.04,2.3386,14.8904,14.8904,11871.30,18.7130,9964.44,11871.30,0,0.00,55,1524.60
2020-07-07,11459.06,-0.2609,14.5906,14.5906,12027.66,20.2766,9964.44,12027.66,0,0.00,55,1494.62
2020-07-08,11516.54,0.5016,15.1654,15.1654,12128.98,21.2898,9964.44,12128.98,0,0.00,55,1552.10
2020-07-09,11555.31,0.3367,15.5531,15.5531,12211.79,22.1179,9964.44,12211.79,0,0.00,55,1590.88
2020-07-12,11589.00,0.2915,15.8900,15.8900,11960.58,19.6058,9964.44,11960.58,0,0.00,55,1624.56
2020-07-13,11586.83,-0.0188,15.8683,15.8683,12045.24,20.4524,11586.83,12045.24,0,0.00,0,0.00
2020-07-14,11612.67,0.2230,16.1267,16.1267,12069.76,20.6976,10282.57,12069.76,0,0.00,47,1330.10
2020-07-15,11619.25,0.0567,16.1925,16.1925,11987.42,19.8742,10282.57,11987.42,0,0.00,47,1336.68
2020-07-16,11590.58,-0.2467,15.9058,15.9058,12001.30,20.0130,10282.57,12001.30,0,0.00,47,1308.01
2020-07-19,11581.79,-0.0758,15.8179,15.8179,12341.78,23.4178,4836.87,12341.78,26,6744.92,0,0.00
2020-07-20,11878.37,2.5608,18.7837,18.7837,12213.18,22.1318,10422.05,12213.18,0,0.00,48,1456.32
2020-07-21,11831.81,-0.3920,18.3181,18.3181,12256.20,22.5620,10422.05,12256.20,0,0.00,48,1409.76
2020-07-22,11822.78,-0.0764,18.2278,18.2278,11936.07,19.3607,4934.60,11936.07,26,6888.18,0,0.00
2020-07-23,11642.86,-1.5218,16.4286,16.4286,11822.72,18.2272,4934.60,11822.72,26,6708.26,0,0.00
2020-07-26,11579.16,-0.5471,15.7916,15.7916,12033.68,20.3368,4934.60,12033.68,26,6644.56,0,0.00
2020-07-27,11697.72,1.0239,16.9772,16.9772,11880.55,18.8055,4934.60,11880.55,26,6763.12,0,0.00
2020-07-28,11611.66,-0.7357,16.1166,16.1166,12017.49,20.1749,4934.60,12017.49,26,6677.06,0,0.00
2020-07-29,11688.62,0.6628,16.8862,16.8862,12080.40,20.8040,4934.60,12080.40,26,6754.02,0,0.00
2020-07-30,11723.98,0.3025,17.2398,17.2398,12295.98,22.9598,4934.60,12295.98,26,6789.38,0,0.00
2020-08-02,11845.14,1.0334,18.4514,18.4514,12462.07,24.6207,4934.60,12462.07,26,6910.54,0,0.00
2020-08-03,11938.48,0.7880,19.3848,19.3848,12508.33,25.0833,4934.60,12508.33,26,7003.88,0,0.00
2020-08-04,11975.26,0.3081,19.7526,19.7526,12539.32,25.3932,10407.26,12539.32,0,0.00,50,1568.00
2020-08-05,11987.76,0.1044,19.8776,19.8776,12705.40,27.0540,10407.26,12705.40,0,0.00,50,1580.50
2020-08-06,12048.26,0.5047,20.4826,20.4826,12558.75,25.5875,10407.26,12558.75,0,0.00,50,1641.00
2020-08-09,11994.64,-0.4451,19.9464,19.9464,12505.09,25.0509,10407.26,12505.09,0,0.00,50,1587.38
2020-08-10,11973.26,-0.1782,19.7326,19.7326,12268.23,22.6823,10407.26,12268.23,0,0.00,50,1566.00
2020-08-11,11963.77,-0.0793,19.6377,19.6377,12576.79,25.7679,4803.64,12576.79,27,7160.13,0,0.00
2020-08-12,12143.86,1.5053,21.4386,21.4386,12605.48,26.0548,4803.64,12605.48,27,7340.22,0,0.00
2020-08-13,12160.60,0.1378,21.6060,21.6060,12590.67,25.9067,4803.64,12590.67,27,7356.96,0,0.00
2020-08-16,12151.96,-0.0710,21.5196,21.5196,12736.86,27.3686,4803.64,12736.86,27,7348.32,0,0.00
2020-08-17,12291.22,1.1460,22.9122,22.9122,12859.46,28.5946,10282.19,12859.46,0,0.00,61,2009.04
2020-08-18,12350.24,0.4802,23.5024,23.5024,12772.95,27.7295,10282.19,12772.95,0,0.00,61,2068.05
2020-08-19,12309.83,-0.3272,23.0983,23.0983,12950.13,29.5013,10282.19,12950.13,0,0.00,61,2027.64
2020-08-20,12393.24,0.6776,23.9324,23.9324,13039.88,30.3988,10282.19,13039.88,0,0.00,61,2111.06
2020-08-23,12437.32,0.3556,24.3732,24.3732,13121.30,31.2130,10282.19,13121.30,0,0.00,61,2155.13
2020-08-24,12477.27,0.3213,24.7727,24.7727,13224.46,32.2446,10282.19,13224.46,0,0.00,61,2195.08
2020-08-25,12528.51,0.4107,25.2851,25.2851,13506.66,35.0666,10282.19,13506.66,0,0.00,61,2246.32
2020-08-26,12525.66,-0.0228,25.2566,25.2566,13464.56,34.6456,12525.66,13464.56,0,0.00,0,0.00
2020-08-27,12525.66,0.0000,25.2566,25.2566,13533.03,35.3303,12525.66,13533.03,0,0.00,0,0.00
2020-08-30,12554.87,0.2332,25.5487,25.5487,13641.75,36.4175,10465.21,13641.75,0,0.00,53,2089.66
2020-08-31,12552.25,-0.0209,25.5225,25.5225,13874.91,38.7491,12552.25,13874.91,0,0.00,0,0.00
2020-09-01,12552.25,0.0000,25.5225,25.5225,14006.29,40.0629,12552.25,14006.29,0,0.00,0,0.00
2020-09-02,12552.25,0.0000,25.5225,25.5225,13296.17,32.9617,12552.25,13296.17,0,0.00,0,0.00
2020-09-03,12552.25,0.0000,25.5225,25.5225,13118.99,31.1899,12552.25,13118.99,0,0.00,0,0.00
2020-09-07,12552.25,0.0000,25.5225,25.5225,12488.43,24.8843,12552.25,12488.43,0,0.00,0,0.00
2020-09-08,12552.25,0.0000,25.5225,25.5225,12855.29,28.5529,12552.25,12855.29,0,0.00,0,0.00
2020-09-09,12552.25,0.0000,25.5225,25.5225,12599.00,25.9900,12552.25,12599.00,0,0.00,0,0.00
2020-09-10,12552.25,0.0000,25.5225,25.5225,12511.57,25.1157,12552.25,12511.57,0,0.00,0,0.00
2020-09-13,12552.25,0.0000,25.5225,25.5225,12729.46,27.2946,12552.25,12729.46,0,0.00,0,0.00
2020-09-14,12544.55,-0.0613,25.4455,25.4455,12909.88,29.0988,5115.23,12909.88,27,7429.32,0,0.00
2020-09-15,12649.85,0.8394,26.4985,26.4985,12704.02,27.0402,5115.23,12704.02,27,7534.62,0,0.00
2020-09-16,12529.70,-0.9498,25.2970,25.2970,12505.55,25.0555,5115.23,12505.55,27,7414.47,0,0.00
2020-09-17,12406.30,-0.9848,24.0630,24.0630,12345.95,23.4595,12406.30,12345.95,0,0.00,0,0.00
2020-09-20,12398.82,-0.0603,23.9882,23.9882,12375.56,23.7556,5193.33,12375.56,27,7205.49,0,0.00
2020-09-21,12408.61,0.0789,24.0861,24.0861,12605.48,26.0548,12408.61,12605.48,0,0.00,0,0.00
2020-09-22,12408.61,0.0000,24.0861,24.0861,12220.58,22.2058,12408.61,12220.58,0,0.00,0,0.00
2020-09-23,12408.61,0.0000,24.0861,24.0861,12277.48,22.7748,12408.61,12277.48,0,0.00,0,0.00
2020-09-24,12408.61,0.0000,24.0861,24.0861,12562.92,25.6292,12408.61,12562.92,0,0.00,0,0.00
2020-09-27,12401.01,-0.0613,24.0101,24.0101,12823.83,28.2383,5068.89,12823.83,27,7332.12,0,0.00
2020-09-28,12553.29,1.2280,25.5329,25.5329,12766.01,27.6601,5068.89,12766.01,27,7484.40,0,0.00
2020-09-29,12519.54,-0.2689,25.1954,25.1954,12853.44,28.5344,5068.89,12853.44,27,7450.65,0,0.00
2020-09-30,12587.11,0.5397,25.8711,25.8711,13057.46,30.5746,11245.38,13057.46,0,0.00,41,1341.72
2020-10-01,12585.36,-0.0139,25.8536,25.8536,12690.14,26.9014,12585.36,12690.14,0,0.00,0,0.00
2020-10-04,12585.36,0.0000,25.8536,25.8536,12960.77,29.6077,12585.36,12960.77,0,0.00,0,0.00
2020-10-05,12585.36,0.0000,25.8536,25.8536,12729.46,27.2946,12585.36,12729.46,0,0.00,0,0.00
2020-10-06,12585.36,0.0000,25.8536,25.8536,12949.67,29.4967,12585.36,12949.67,0,0.00,0,0.00
2020-10-07,12585.36,0.0000,25.8536,25.8536,13018.60,30.1860,12585.36,13018.60,0,0.00,0,0.00
2020-10-08,12604.56,0.1526,26.0456,26.0456,13217.52,32.1752,11152.35,13217.52,0,0.00,43,1452.22
2020-10-11,12669.17,0.5126,26.6917,26.6917,13625.56,36.2556,11152.35,13625.56,0,0.00,43,1516.82
2020-10-12,12810.64,1.1166,28.1064,28.1064,13625.09,36.2509,11152.35,13625.09,0,0.00,43,1658.30
2020-10-13,12810.86,0.0017,28.1086,28.1086,13511.29,35.1129,11152.35,13511.29,0,0.00,43,1658.51
