Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$18,067.31","+$-5,583.23"
Performance,Total_Return,136.51%,80.67%,+-55.83%
Performance,Annualized_Return,18.80%,12.57%,+-6.23%
Risk,Sharpe_Ratio,N/A,3.10,N/A
Risk,Max_Drawdown,N/A,-6.24%,N/A
Trading,Win_Rate,N/A,23.39%,N/A
Trading,Total_Trades,N/A,124,N/A
Comparison,Alpha,1.00x,0.59x,-40.90%
Comparison,Excess_Return,0.00%,-55.83%,-55.83%
Comparison,Return_Ratio,1.00:1,0.59:1,N/A
