Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$20,902.24","+$-2,748.30"
Performance,Total_Return,136.51%,109.02%,+-27.48%
Performance,Annualized_Return,18.80%,15.90%,+-2.90%
Risk,Sharpe_Ratio,N/A,4.40,N/A
Risk,Max_Drawdown,N/A,-5.54%,N/A
Trading,Win_Rate,N/A,24.81%,N/A
Trading,Total_Trades,N/A,129,N/A
Comparison,Alpha,1.00x,0.80x,-20.13%
Comparison,Excess_Return,0.00%,-27.48%,-27.48%
Comparison,Return_Ratio,1.00:1,0.80:1,N/A
