Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$18,686.08","+$-4,964.45"
Performance,Total_Return,136.51%,86.86%,+-49.64%
Performance,Annualized_Return,18.80%,13.33%,+-5.47%
Risk,Sharpe_Ratio,N/A,3.57,N/A
Risk,Max_Drawdown,N/A,-5.51%,N/A
Trading,Win_Rate,N/A,23.31%,N/A
Trading,Total_Trades,N/A,133,N/A
Comparison,Alpha,1.00x,0.64x,-36.37%
Comparison,Excess_Return,0.00%,-49.64%,-49.64%
Comparison,Return_Ratio,1.00:1,0.64:1,N/A
