Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$25,556.28","+$1,905.74"
Performance,Total_Return,136.51%,155.56%,+19.06%
Performance,Annualized_Return,18.80%,20.66%,+1.86%
Risk,Sharpe_Ratio,N/A,5.14,N/A
Risk,Max_Drawdown,N/A,-5.96%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,1.14x,+13.96%
Comparison,Excess_Return,0.00%,+19.06%,+19.06%
Comparison,Return_Ratio,1.00:1,1.14:1,N/A
