Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$15,739.60","+$-7,910.94"
Performance,Total_Return,136.51%,57.40%,+-79.11%
Performance,Annualized_Return,18.80%,9.50%,+-9.30%
Risk,Sharpe_Ratio,N/A,2.63,N/A
Risk,Max_Drawdown,N/A,-6.32%,N/A
Trading,Win_Rate,N/A,23.31%,N/A
Trading,Total_Trades,N/A,133,N/A
Comparison,Alpha,1.00x,0.42x,-57.95%
Comparison,Excess_Return,0.00%,-79.11%,-79.11%
Comparison,Return_Ratio,1.00:1,0.42:1,N/A
