Run ID,Symbol Set,Portfolio Balance,Total Return %,Annualized Return %,Max Drawdown,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Total Trades,Profit Factor,Win Rate %,Avg Win ($),Avg Loss ($),EMA Period,ATR Stop Multiplier,Risk Bull,MACD Fast Period,MACD Slow Period,MACD Signal Period,ATR Period,Allocation Defense
036,QQQ-TQQQ,24693.52,1.469,0.353,-0.102,2.9,1.48,3.45,60,0.0,0.2,223.54,-457680.48,50,2.5,0.06,12,26,9,14,0.7
037,QQQ-TQQQ,20238.97,1.024,0.266,-0.086,2.54,1.34,3.08,56,0.0,0.232,154.71,-346774.43,100,2.0,0.04,12,26,9,14,0.6
038,QQQ-TQQQ,20329.66,1.033,0.268,-0.083,2.62,1.38,3.22,56,0.0,0.232,128.66,-346300.37,100,2.0,0.04,12,26,9,14,0.5
039,QQQ-TQQQ,20140.74,1.014,0.264,-0.09,2.46,1.29,2.94,56,0.0,0.232,180.61,-347144.1,100,2.0,0.04,12,26,9,14,0.7
040,QQQ-TQQQ,24076.82,1.408,0.342,-0.101,2.75,1.4,3.39,56,0.0,0.232,170.03,-479603.22,100,2.0,0.05,12,26,9,14,0.6
041,QQQ-TQQQ,24185.30,1.419,0.344,-0.098,2.81,1.42,3.52,56,0.0,0.232,141.52,-479091.24,100,2.0,0.05,12,26,9,14,0.5
042,QQQ-TQQQ,23962.40,1.396,0.34,-0.104,2.68,1.37,3.26,56,0.0,0.232,198.7,-480121.24,100,2.0,0.05,12,26,9,14,0.7
043,QQQ-TQQQ,24992.71,1.499,0.359,-0.087,2.98,1.84,4.11,53,0.0,0.245,175.47,-550024.58,100,2.0,0.06,12,26,9,14,0.6
044,QQQ-TQQQ,25112.55,1.511,0.361,-0.08,3.04,1.89,4.49,53,0.0,0.245,146.18,-549763.47,100,2.0,0.06,12,26,9,14,0.5
045,QQQ-TQQQ,24883.03,1.488,0.357,-0.094,2.91,1.78,3.8,53,0.0,0.245,205.26,-550436.94,100,2.0,0.06,12,26,9,14,0.7
046,QQQ-TQQQ,15971.83,0.597,0.17,-0.066,2.12,1.15,2.56,56,0.0,0.232,136.47,-202327.63,100,3.0,0.04,12,26,9,14,0.6
047,QQQ-TQQQ,16050.45,0.605,0.171,-0.063,2.24,1.24,2.73,56,0.0,0.232,113.61,-202048.64,100,3.0,0.04,12,26,9,14,0.5
048,QQQ-TQQQ,15900.00,0.590,0.168,-0.069,2.0,1.06,2.41,56,0.0,0.232,159.31,-202609.17,100,3.0,0.04,12,26,9,14,0.7
049,QQQ-TQQQ,17993.51,0.799,0.217,-0.076,2.36,1.27,2.84,56,0.0,0.232,145.19,-270249.84,100,3.0,0.05,12,26,9,14,0.6
050,QQQ-TQQQ,18079.21,0.808,0.219,-0.073,2.46,1.33,3.0,56,0.0,0.232,120.9,-269928.41,100,3.0,0.05,12,26,9,14,0.5
051,QQQ-TQQQ,17912.67,0.791,0.215,-0.08,2.26,1.2,2.7,56,0.0,0.232,169.89,-270643.47,100,3.0,0.05,12,26,9,14,0.7
052,QQQ-TQQQ,20238.97,1.024,0.266,-0.086,2.54,1.34,3.08,56,0.0,0.232,154.71,-346774.43,100,3.0,0.06,12,26,9,14,0.6
053,QQQ-TQQQ,20329.66,1.033,0.268,-0.083,2.62,1.38,3.22,56,0.0,0.232,128.66,-346300.37,100,3.0,0.06,12,26,9,14,0.5
054,QQQ-TQQQ,20140.74,1.014,0.264,-0.09,2.46,1.29,2.94,56,0.0,0.232,180.61,-347144.1,100,3.0,0.06,12,26,9,14,0.7
055,QQQ-TQQQ,27747.16,1.775,0.407,-0.097,3.0,1.6,4.19,44,0.0,0.295,197.03,-600961.87,100,1.0,0.04,12,26,9,14,0.6
056,QQQ-TQQQ,27869.90,1.787,0.409,-0.09,3.06,1.62,4.53,44,0.0,0.295,163.76,-600377.85,100,1.0,0.04,12,26,9,14,0.5
057,QQQ-TQQQ,27615.85,1.762,0.405,-0.104,2.94,1.57,3.89,44,0.0,0.295,230.11,-601433.09,100,1.0,0.04,12,26,9,14,0.7
058,QQQ-TQQQ,16098.62,0.610,0.173,-0.084,1.48,0.75,2.05,34,0.0,0.382,142.85,-355151.94,100,1.0,0.05,12,26,9,14,0.6
059,QQQ-TQQQ,16170.99,0.617,0.174,-0.083,1.53,0.77,2.1,34,0.0,0.382,118.81,-355217.68,100,1.0,0.05,12,26,9,14,0.5
060,QQQ-TQQQ,16026.65,0.603,0.171,-0.085,1.43,0.72,2.01,34,0.0,0.382,167.19,-355142.58,100,1.0,0.05,12,26,9,14,0.7
061,QQQ-TQQQ,11110.48,0.111,0.036,-0.097,0.21,0.18,0.37,28,0.0,0.464,112.77,-130595.83,100,1.0,0.06,12,26,9,14,0.6
062,QQQ-TQQQ,11164.83,0.116,0.038,-0.091,0.24,0.19,0.41,28,0.0,0.464,93.81,-130640.39,100,1.0,0.06,12,26,9,14,0.5
063,QQQ-TQQQ,11060.73,0.106,0.034,-0.104,0.18,0.17,0.33,28,0.0,0.464,132.05,-130584.32,100,1.0,0.06,12,26,9,14,0.7
064,QQQ-TQQQ,17571.01,0.757,0.207,-0.074,2.32,1.25,2.79,56,0.0,0.232,143.42,-256033.61,100,2.5,0.04,12,26,9,14,0.6
