Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$22,688.37",+$-962.17
Performance,Total_Return,136.51%,126.88%,+-9.62%
Performance,Annualized_Return,18.80%,17.82%,+-0.98%
Risk,Sharpe_Ratio,N/A,4.73,N/A
Risk,Max_Drawdown,N/A,-5.59%,N/A
Trading,Win_Rate,N/A,24.81%,N/A
Trading,Total_Trades,N/A,129,N/A
Comparison,Alpha,1.00x,0.93x,-7.05%
Comparison,Excess_Return,0.00%,-9.62%,-9.62%
Comparison,Return_Ratio,1.00:1,0.93:1,N/A
