Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$19,955.73","+$-3,694.80"
Performance,Total_Return,136.51%,99.56%,+-36.95%
Performance,Annualized_Return,18.80%,14.83%,+-3.97%
Risk,Sharpe_Ratio,N/A,3.55,N/A
Risk,Max_Drawdown,N/A,-5.66%,N/A
Trading,Win_Rate,N/A,23.39%,N/A
Trading,Total_Trades,N/A,124,N/A
Comparison,Alpha,1.00x,0.73x,-27.07%
Comparison,Excess_Return,0.00%,-36.95%,-36.95%
Comparison,Return_Ratio,1.00:1,0.73:1,N/A
