Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$35,541.22","+$11,890.69"
Performance,Total_Return,136.51%,255.41%,+118.91%
Performance,Annualized_Return,18.80%,28.89%,+10.09%
Risk,Sharpe_Ratio,N/A,5.98,N/A
Risk,Max_Drawdown,N/A,-5.81%,N/A
Trading,Win_Rate,N/A,24.62%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,1.87x,+87.11%
Comparison,Excess_Return,0.00%,+118.91%,+118.91%
Comparison,Return_Ratio,1.00:1,1.87:1,N/A
