Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$17,608.59","+$-6,041.95"
Performance,Total_Return,136.51%,76.09%,+-60.42%
Performance,Annualized_Return,18.80%,11.99%,+-6.81%
Risk,Sharpe_Ratio,N/A,3.52,N/A
Risk,Max_Drawdown,N/A,-5.54%,N/A
Trading,Win_Rate,N/A,24.62%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,0.56x,-44.26%
Comparison,Excess_Return,0.00%,-60.42%,-60.42%
Comparison,Return_Ratio,1.00:1,0.56:1,N/A
