Trade_ID,Date,Bar_Number,Strategy_State,Ticker,Decision,Decision_Reason,Indicator_EMA_100,Indicator_MACD_Line,Indicator_Price,Indicator_Signal_Line,Indicator_VIX,Threshold_ATR_Stop_Multiplier,Threshold_EMA_Period,Threshold_Risk_Per_Trade,Threshold_VIX_Kill_Switch,Order_Type,Shares,Fill_Price,Position_Value,Slippage,Commission,Portfolio_Value_Before,Portfolio_Value_After,Cash_Before,Cash_After,Allocation_Before,Allocation_After,Cumulative_Return_Pct
1,2020-02-10 22:00:00,110,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(232.01) > EMA(219.04), MACD(3.2147) > 0, VIX(15.18) <= 30.0",219.04392918670487,3.214725748169883,232.01,2.3098314088531713,15.18,2.0,100.0,0.025,30.0,MARKET,1184,27.74772,32853.30048,0.0,0.0,100000.0,99967.17952,100000.0,67146.69952,CASH: 100.0%,"CASH: 67.2%, TQQQ: 32.8%",-0.03282048
2,2020-02-23 22:00:00,144,Stop-Loss Triggered,TQQQ,SELL,Price breached stop at 25.61,221.0325889688352,2.6202028139616402,221.39,3.412293789803104,25.03,2.0,100.0,0.025,30.0,MARKET,1184,23.89608,28292.95872,0.0,0.0,95467.97952,95439.65824,67146.69952,95439.65824,"CASH: 70.3%, TQQQ: 29.7%",CASH: 100.0%,-4.56034176
3,2020-05-07 22:00:00,354,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(224.86) > EMA(209.61), MACD(5.7144) > 0, VIX(27.98) <= 30.0",209.612544643466,5.714402493517326,224.86,5.033682609731519,27.98,2.0,100.0,0.025,30.0,MARKET,1080,17.9904725,19429.7103,0.0,0.0,95439.65824,95420.24794,95439.65824,76009.94794,CASH: 100.0%,"CASH: 79.7%, TQQQ: 20.3%",-4.57975206
4,2020-05-11 22:00:00,362,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(222.12) > EMA(210.20), MACD(5.9385) > 0, VIX(33.04) > 30.0",210.19518184987845,5.938525910898392,222.12,5.383894407505625,33.04,2.0,100.0,0.025,30.0,MARKET,1080,19.1433375,20674.8045,0.0,0.0,96705.44794,96684.75244,76009.94794,96684.75244,"CASH: 78.6%, TQQQ: 21.4%",CASH: 100.0%,-3.31524756
5,2020-05-17 22:00:00,378,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(227.43) > EMA(211.18), MACD(5.4540) > 0, VIX(29.30) <= 30.0",211.18214368520225,5.453954095671435,227.43,5.386816273628267,29.3,2.0,100.0,0.025,30.0,MARKET,1030,18.2407225,18787.944175,0.0,0.0,96684.75244,96665.983265,96684.75244,77896.808265,CASH: 100.0%,"CASH: 80.6%, TQQQ: 19.4%",-3.334016735
6,2020-05-18 22:00:00,382,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(226.86) > EMA(211.49), MACD(5.5036) > 0, VIX(30.53) > 30.0",211.49259628549527,5.50357146826039,226.86,5.410167312554692,30.53,2.0,100.0,0.025,30.0,MARKET,1030,19.2582225,19835.969175,0.0,0.0,97752.633265,97732.77744,77896.808265,97732.77744,"CASH: 79.7%, TQQQ: 20.3%",CASH: 100.0%,-2.26722256
7,2020-05-19 22:00:00,386,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(231.39) > EMA(211.89), MACD(5.8411) > 0, VIX(27.99) <= 30.0",211.8866042798419,5.841094236320004,231.39,5.4963526973077546,27.99,2.0,100.0,0.025,30.0,MARKET,1036,19.14913,19838.49868,0.0,0.0,97732.77744,97712.95876,97732.77744,77894.27876,CASH: 100.0%,"CASH: 79.7%, TQQQ: 20.3%",-2.28704124
8,2020-06-10 22:00:00,446,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(234.02) > EMA(217.96), MACD(6.1240) > 0, VIX(40.79) > 30.0",217.9552727755598,6.124028285478545,234.02,6.173746085325889,40.79,2.0,100.0,0.025,30.0,MARKET,1036,24.3081675,25183.26153,0.0,0.0,103102.74876,103077.54029,77894.27876,103077.54029,"CASH: 75.6%, TQQQ: 24.4%",CASH: 100.0%,3.07754029
9,2020-06-30 22:00:00,502,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(250.49) > EMA(224.51), MACD(4.6534) > 0, VIX(28.62) <= 30.0",224.50625698167636,4.653413207039961,250.49,4.959194323756218,28.62,2.0,100.0,0.025,30.0,MARKET,858,24.4369125,20966.870925,0.0,0.0,103077.54029,103056.594365,103077.54029,82110.669365,CASH: 100.0%,"CASH: 79.7%, TQQQ: 20.3%",3.056594365
10,2020-07-12 22:00:00,530,Liquidating TQQQ position (state change),TQQQ,SELL,"Price(258.54) > EMA(230.07), MACD(6.9715) > 0, VIX(32.19) > 30.0",230.0707996317638,6.971484833677948,258.54,6.189617468847642,32.19,2.0,100.0,0.025,30.0,MARKET,858,29.5079625,25317.831825,0.0,0.0,107453.844365,107428.50119,82110.669365,107428.50119,"CASH: 76.4%, TQQQ: 23.6%",CASH: 100.0%,7.42850119
11,2020-07-13 22:00:00,534,IN: Price > EMA AND MACD > 0 AND VIX calm,TQQQ,BUY,"Price(260.37) > EMA(230.89), MACD(6.8894) > 0, VIX(29.52) <= 30.0",230.88905001170863,6.889385169013622,260.37,6.329044022758753,29.52,2.0,100.0,0.025,30.0,MARKET,739,27.7402125,20500.0170375,0.0,0.0,107428.50119,107408.0216525,107428.50119,86928.4841525,CASH: 100.0%,"CASH: 80.9%, TQQQ: 19.1%",7.4080216525
