Date,Portfolio_Total_Value,Portfolio_Day_Change_Pct,Portfolio_Overall_Return,Portfolio_PL_Percent,Cash,BuyHold_QQQ_Value,QQQ_Qty,QQQ_Value,TQQQ_Qty,TQQQ_Value
2020-04-01,10000.00,0.0000,0.0000,0.0000,10000.00,10000.00,0,0.00,0,0.00
2020-04-02,10000.00,0.0000,0.0000,0.0000,10000.00,9858.07,0,0.00,0,0.00
2020-04-05,10000.00,0.0000,0.0000,0.0000,10000.00,10562.87,0,0.00,0,0.00
2020-04-06,10000.00,0.0000,0.0000,0.0000,10000.00,10558.57,0,0.00,0,0.00
2020-04-07,10000.00,0.0000,0.0000,0.0000,10000.00,10782.75,0,0.00,0,0.00
2020-04-08,10000.00,0.0000,0.0000,0.0000,10000.00,10798.34,0,0.00,0,0.00
2020-04-12,10000.00,0.0000,0.0000,0.0000,10000.00,10915.00,0,0.00,0,0.00
2020-04-13,10000.00,0.0000,0.0000,0.0000,10000.00,11389.71,0,0.00,0,0.00
2020-04-14,10000.00,0.0000,0.0000,0.0000,10000.00,11259.07,0,0.00,0,0.00
2020-04-15,10000.00,0.0000,0.0000,0.0000,10000.00,11464.44,0,0.00,0,0.00
2020-04-16,10000.00,0.0000,0.0000,0.0000,10000.00,11574.11,0,0.00,0,0.00
2020-04-19,10000.00,0.0000,0.0000,0.0000,10000.00,11437.02,0,0.00,0,0.00
2020-04-20,10000.00,0.0000,0.0000,0.0000,10000.00,11015.00,0,0.00,0,0.00
2020-04-21,10000.00,0.0000,0.0000,0.0000,10000.00,11341.86,0,0.00,0,0.00
2020-04-22,10000.00,0.0000,0.0000,0.0000,10000.00,11317.67,0,0.00,0,0.00
2020-04-23,10000.00,0.0000,0.0000,0.0000,10000.00,11496.16,0,0.00,0,0.00
2020-04-26,10000.00,0.0000,0.0000,0.0000,10000.00,11588.62,0,0.00,0,0.00
2020-04-27,9990.91,-0.0909,-0.0909,-0.0909,4316.27,11370.36,0,0.00,342,0.00
2020-04-28,9683.96,-3.0722,-3.1604,-3.1604,4316.27,11773.56,0,0.00,342,5367.69
2020-04-29,10242.28,5.7654,2.4228,2.4228,4316.27,11768.72,0,0.00,342,5926.00
2020-04-30,10281.61,0.3840,2.8161,2.8161,4316.27,11437.02,0,0.00,342,5965.34
2020-05-03,9730.54,-5.3597,-2.6946,-2.6946,3058.72,11570.35,31,0.00,0,0.00
2020-05-04,9806.18,0.7773,-1.9382,-1.9382,3058.72,11701.52,31,6747.46,0,0.00
2020-05-05,9847.72,0.4236,-1.5228,-1.5228,3058.72,11773.56,31,6789.00,0,0.00
2020-05-06,9918.46,0.7183,-0.8154,-0.8154,3898.93,11925.17,0,0.00,348,0.00
2020-05-07,10153.36,2.3683,1.5336,1.5336,3898.93,12088.60,0,0.00,348,6254.43
2020-05-10,10405.66,2.4849,4.0566,4.0566,3898.93,12196.66,0,0.00,348,6506.73
2020-05-11,10567.48,1.5551,5.6748,5.6748,3898.93,11941.29,0,0.00,348,6668.55
2020-05-12,10153.67,-3.9159,1.5367,1.5367,3134.79,11791.84,32,0.00,0,0.00
2020-05-13,10233.35,0.7847,2.3335,2.3335,3134.79,11925.70,32,7098.56,0,0.00
2020-05-14,10279.43,0.4503,2.7943,2.7943,3134.79,12003.12,32,7144.64,0,0.00
