Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$24,662.79","+$1,012.25"
Performance,Total_Return,136.51%,146.63%,+10.12%
Performance,Annualized_Return,18.80%,19.80%,+1.00%
Risk,Sharpe_Ratio,N/A,5.03,N/A
Risk,Max_Drawdown,N/A,-5.92%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,1.07x,+7.42%
Comparison,Excess_Return,0.00%,+10.12%,+10.12%
Comparison,Return_Ratio,1.00:1,1.07:1,N/A
