Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$29,644.04","+$5,993.51"
Performance,Total_Return,136.51%,196.44%,+59.94%
Performance,Annualized_Return,18.80%,24.29%,+5.49%
Risk,Sharpe_Ratio,N/A,4.92,N/A
Risk,Max_Drawdown,N/A,-6.46%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,121,N/A
Comparison,Alpha,1.00x,1.44x,+43.91%
Comparison,Excess_Return,0.00%,+59.94%,+59.94%
Comparison,Return_Ratio,1.00:1,1.44:1,N/A
