Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$17,730.15","+$-5,920.39"
Performance,Total_Return,136.51%,77.30%,+-59.20%
Performance,Annualized_Return,18.80%,12.14%,+-6.66%
Risk,Sharpe_Ratio,N/A,3.57,N/A
Risk,Max_Drawdown,N/A,-5.53%,N/A
Trading,Win_Rate,N/A,24.81%,N/A
Trading,Total_Trades,N/A,129,N/A
Comparison,Alpha,1.00x,0.57x,-43.37%
Comparison,Excess_Return,0.00%,-59.20%,-59.20%
Comparison,Return_Ratio,1.00:1,0.57:1,N/A
