Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$24,134.78",+$484.24
Performance,Total_Return,136.51%,141.35%,+4.84%
Performance,Annualized_Return,18.80%,19.28%,+0.48%
Risk,Sharpe_Ratio,N/A,4.95,N/A
Risk,Max_Drawdown,N/A,-5.63%,N/A
Trading,Win_Rate,N/A,24.62%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,1.04x,+3.55%
Comparison,Excess_Return,0.00%,+4.84%,+4.84%
Comparison,Return_Ratio,1.00:1,1.04:1,N/A
