Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$19,291.44","+$-4,359.09"
Performance,Total_Return,136.51%,92.91%,+-43.59%
Performance,Annualized_Return,18.80%,14.05%,+-4.75%
Risk,Sharpe_Ratio,N/A,4.02,N/A
Risk,Max_Drawdown,N/A,-5.75%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,0.68x,-31.93%
Comparison,Excess_Return,0.00%,-43.59%,-43.59%
Comparison,Return_Ratio,1.00:1,0.68:1,N/A
