Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$16,139.70","+$-7,510.83"
Performance,Total_Return,136.51%,61.40%,+-75.11%
Performance,Annualized_Return,18.80%,10.05%,+-8.75%
Risk,Sharpe_Ratio,N/A,2.50,N/A
Risk,Max_Drawdown,N/A,-7.27%,N/A
Trading,Win_Rate,N/A,25.89%,N/A
Trading,Total_Trades,N/A,112,N/A
Comparison,Alpha,1.00x,0.45x,-55.02%
Comparison,Excess_Return,0.00%,-75.11%,-75.11%
Comparison,Return_Ratio,1.00:1,0.45:1,N/A
