Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$15,524.17","+$-8,126.37"
Performance,Total_Return,136.51%,55.24%,+-81.26%
Performance,Annualized_Return,18.80%,9.20%,+-9.60%
Risk,Sharpe_Ratio,N/A,2.31,N/A
Risk,Max_Drawdown,N/A,-7.24%,N/A
Trading,Win_Rate,N/A,23.39%,N/A
Trading,Total_Trades,N/A,124,N/A
Comparison,Alpha,1.00x,0.40x,-59.53%
Comparison,Excess_Return,0.00%,-81.26%,-81.26%
Comparison,Return_Ratio,1.00:1,0.40:1,N/A
