Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$19,591.84","+$-4,058.70"
Performance,Total_Return,136.51%,95.92%,+-40.59%
Performance,Annualized_Return,18.80%,14.41%,+-4.39%
Risk,Sharpe_Ratio,N/A,4.10,N/A
Risk,Max_Drawdown,N/A,-5.50%,N/A
Trading,Win_Rate,N/A,24.81%,N/A
Trading,Total_Trades,N/A,129,N/A
Comparison,Alpha,1.00x,0.70x,-29.73%
Comparison,Excess_Return,0.00%,-40.59%,-40.59%
Comparison,Return_Ratio,1.00:1,0.70:1,N/A
