Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$18,544.40","+$-5,106.13"
Performance,Total_Return,136.51%,85.44%,+-51.06%
Performance,Annualized_Return,18.80%,13.16%,+-5.64%
Risk,Sharpe_Ratio,N/A,3.23,N/A
Risk,Max_Drawdown,N/A,-6.05%,N/A
Trading,Win_Rate,N/A,23.39%,N/A
Trading,Total_Trades,N/A,124,N/A
Comparison,Alpha,1.00x,0.63x,-37.41%
Comparison,Excess_Return,0.00%,-51.06%,-51.06%
Comparison,Return_Ratio,1.00:1,0.63:1,N/A
