Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$19,171.43","+$-4,479.11"
Performance,Total_Return,136.51%,91.71%,+-44.79%
Performance,Annualized_Return,18.80%,13.91%,+-4.89%
Risk,Sharpe_Ratio,N/A,3.42,N/A
Risk,Max_Drawdown,N/A,-6.17%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,121,N/A
Comparison,Alpha,1.00x,0.67x,-32.81%
Comparison,Excess_Return,0.00%,-44.79%,-44.79%
Comparison,Return_Ratio,1.00:1,0.67:1,N/A
