Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$37,285.81","+$13,635.28"
Performance,Total_Return,136.51%,272.86%,+136.35%
Performance,Annualized_Return,18.80%,30.13%,+11.33%
Risk,Sharpe_Ratio,N/A,5.66,N/A
Risk,Max_Drawdown,N/A,-5.36%,N/A
Trading,Win_Rate,N/A,25.00%,N/A
Trading,Total_Trades,N/A,120,N/A
Comparison,Alpha,1.00x,2.00x,+99.89%
Comparison,Excess_Return,0.00%,+136.35%,+136.35%
Comparison,Return_Ratio,1.00:1,2.00:1,N/A
