Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$20,855.13","+$-2,795.40"
Performance,Total_Return,136.51%,108.55%,+-27.95%
Performance,Annualized_Return,18.80%,15.85%,+-2.95%
Risk,Sharpe_Ratio,N/A,4.03,N/A
Risk,Max_Drawdown,N/A,-5.07%,N/A
Trading,Win_Rate,N/A,25.00%,N/A
Trading,Total_Trades,N/A,120,N/A
Comparison,Alpha,1.00x,0.80x,-20.48%
Comparison,Excess_Return,0.00%,-27.95%,-27.95%
Comparison,Return_Ratio,1.00:1,0.80:1,N/A
