Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$18,855.34","+$-4,795.19"
Performance,Total_Return,136.51%,88.55%,+-47.95%
Performance,Annualized_Return,18.80%,13.53%,+-5.27%
Risk,Sharpe_Ratio,N/A,3.90,N/A
Risk,Max_Drawdown,N/A,-5.52%,N/A
Trading,Win_Rate,N/A,24.62%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,0.65x,-35.13%
Comparison,Excess_Return,0.00%,-47.95%,-47.95%
Comparison,Return_Ratio,1.00:1,0.65:1,N/A
