Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$29,618.46","+$5,967.92"
Performance,Total_Return,136.51%,196.18%,+59.68%
Performance,Annualized_Return,18.80%,24.27%,+5.47%
Risk,Sharpe_Ratio,N/A,4.78,N/A
Risk,Max_Drawdown,N/A,-7.20%,N/A
Trading,Win_Rate,N/A,22.94%,N/A
Trading,Total_Trades,N/A,109,N/A
Comparison,Alpha,1.00x,1.44x,+43.72%
Comparison,Excess_Return,0.00%,+59.68%,+59.68%
Comparison,Return_Ratio,1.00:1,1.44:1,N/A
