Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$21,684.78","+$-1,965.76"
Performance,Total_Return,136.51%,116.85%,+-19.66%
Performance,Annualized_Return,18.80%,16.76%,+-2.05%
Risk,Sharpe_Ratio,N/A,3.93,N/A
Risk,Max_Drawdown,N/A,-6.26%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,121,N/A
Comparison,Alpha,1.00x,0.86x,-14.40%
Comparison,Excess_Return,0.00%,-19.66%,-19.66%
Comparison,Return_Ratio,1.00:1,0.86:1,N/A
