Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$23,849.16",+$198.62
Performance,Total_Return,136.51%,138.49%,+1.99%
Performance,Annualized_Return,18.80%,19.00%,+0.20%
Risk,Sharpe_Ratio,N/A,4.27,N/A
Risk,Max_Drawdown,N/A,-6.34%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,121,N/A
Comparison,Alpha,1.00x,1.01x,+1.46%
Comparison,Excess_Return,0.00%,+1.99%,+1.99%
Comparison,Return_Ratio,1.00:1,1.01:1,N/A
