Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$22,803.75",+$-846.79
Performance,Total_Return,136.51%,128.04%,+-8.47%
Performance,Annualized_Return,18.80%,17.94%,+-0.86%
Risk,Sharpe_Ratio,N/A,4.05,N/A
Risk,Max_Drawdown,N/A,-5.15%,N/A
Trading,Win_Rate,N/A,23.39%,N/A
Trading,Total_Trades,N/A,124,N/A
Comparison,Alpha,1.00x,0.94x,-6.20%
Comparison,Excess_Return,0.00%,-8.47%,-8.47%
Comparison,Return_Ratio,1.00:1,0.94:1,N/A
