run_id,symbol_set,signal_symbol,bull_symbol,defense_symbol,vix_ema_period,ema_period_calm,atr_stop_calm,ema_period_choppy,atr_stop_choppy,risk_bull,allocation_defense,macd_fast_period,macd_slow_period,macd_signal_period,atr_period,vix_symbol
040,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,2.5,0.06,0.6,12,26,9,14,VIX
041,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,1.0,0.05,0.6,12,26,9,14,VIX
042,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,50,1.0,0.06,0.6,12,26,9,14,VIX
043,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.0,0.05,0.6,12,26,9,14,VIX
044,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.0,0.06,0.6,12,26,9,14,VIX
045,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.5,0.05,0.6,12,26,9,14,VIX
046,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,2.5,0.06,0.6,12,26,9,14,VIX
047,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,1.0,0.05,0.6,12,26,9,14,VIX
048,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,75,1.0,0.06,0.6,12,26,9,14,VIX
049,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.0,0.05,0.6,12,26,9,14,VIX
050,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.0,0.06,0.6,12,26,9,14,VIX
051,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.5,0.05,0.6,12,26,9,14,VIX
052,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,2.5,0.06,0.6,12,26,9,14,VIX
053,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,1.0,0.05,0.6,12,26,9,14,VIX
054,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,25,1.0,100,1.0,0.06,0.6,12,26,9,14,VIX
055,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,2.0,0.05,0.6,12,26,9,14,VIX
056,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,2.0,0.06,0.6,12,26,9,14,VIX
057,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,2.5,0.05,0.6,12,26,9,14,VIX
058,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,2.5,0.06,0.6,12,26,9,14,VIX
059,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,1.0,0.05,0.6,12,26,9,14,VIX
060,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,50,1.0,0.06,0.6,12,26,9,14,VIX
061,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,2.0,0.05,0.6,12,26,9,14,VIX
062,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,2.0,0.06,0.6,12,26,9,14,VIX
063,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,2.5,0.05,0.6,12,26,9,14,VIX
064,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,2.5,0.06,0.6,12,26,9,14,VIX
065,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,1.0,0.05,0.6,12,26,9,14,VIX
066,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,75,1.0,0.06,0.6,12,26,9,14,VIX
067,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,2.0,0.05,0.6,12,26,9,14,VIX
068,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,2.0,0.06,0.6,12,26,9,14,VIX
069,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,2.5,0.05,0.6,12,26,9,14,VIX
070,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,2.5,0.06,0.6,12,26,9,14,VIX
071,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,1.0,0.05,0.6,12,26,9,14,VIX
072,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.5,100,1.0,0.06,0.6,12,26,9,14,VIX
073,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.0,0.05,0.6,12,26,9,14,VIX
074,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.0,0.06,0.6,12,26,9,14,VIX
075,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.5,0.05,0.6,12,26,9,14,VIX
076,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,2.5,0.06,0.6,12,26,9,14,VIX
077,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,1.0,0.05,0.6,12,26,9,14,VIX
078,QQQ_TQQQ_VIX,QQQ,TQQQ,QQQ,20,75,2.0,50,1.0,0.06,0.6,12,26,9,14,VIX
