Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$18,546.70","+$-5,103.84"
Performance,Total_Return,136.51%,85.47%,+-51.04%
Performance,Annualized_Return,18.80%,13.16%,+-5.64%
Risk,Sharpe_Ratio,N/A,3.49,N/A
Risk,Max_Drawdown,N/A,-5.08%,N/A
Trading,Win_Rate,N/A,24.79%,N/A
Trading,Total_Trades,N/A,121,N/A
Comparison,Alpha,1.00x,0.63x,-37.39%
Comparison,Excess_Return,0.00%,-51.04%,-51.04%
Comparison,Return_Ratio,1.00:1,0.63:1,N/A
