Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$18,690.01","+$-4,960.52"
Performance,Total_Return,136.51%,86.90%,+-49.61%
Performance,Annualized_Return,18.80%,13.33%,+-5.47%
Risk,Sharpe_Ratio,N/A,3.24,N/A
Risk,Max_Drawdown,N/A,-6.74%,N/A
Trading,Win_Rate,N/A,25.89%,N/A
Trading,Total_Trades,N/A,112,N/A
Comparison,Alpha,1.00x,0.64x,-36.34%
Comparison,Excess_Return,0.00%,-49.61%,-49.61%
Comparison,Return_Ratio,1.00:1,0.64:1,N/A
