Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$22,587.75","+$-1,062.79"
Performance,Total_Return,136.51%,125.88%,+-10.63%
Performance,Annualized_Return,18.80%,17.71%,+-1.09%
Risk,Sharpe_Ratio,N/A,4.08,N/A
Risk,Max_Drawdown,N/A,-6.28%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,121,N/A
Comparison,Alpha,1.00x,0.92x,-7.79%
Comparison,Excess_Return,0.00%,-10.63%,-10.63%
Comparison,Return_Ratio,1.00:1,0.92:1,N/A
