Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$23,579.54",+$-71.00
Performance,Total_Return,136.51%,135.80%,+-0.71%
Performance,Annualized_Return,18.80%,18.73%,+-0.07%
Risk,Sharpe_Ratio,N/A,4.14,N/A
Risk,Max_Drawdown,N/A,-6.81%,N/A
Trading,Win_Rate,N/A,25.89%,N/A
Trading,Total_Trades,N/A,112,N/A
Comparison,Alpha,1.00x,0.99x,-0.52%
Comparison,Excess_Return,0.00%,-0.71%,-0.71%
Comparison,Return_Ratio,1.00:1,0.99:1,N/A
