Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$21,759.60","+$-1,890.93"
Performance,Total_Return,136.51%,117.60%,+-18.91%
Performance,Annualized_Return,18.80%,16.84%,+-1.96%
Risk,Sharpe_Ratio,N/A,4.24,N/A
Risk,Max_Drawdown,N/A,-5.61%,N/A
Trading,Win_Rate,N/A,23.31%,N/A
Trading,Total_Trades,N/A,133,N/A
Comparison,Alpha,1.00x,0.86x,-13.85%
Comparison,Excess_Return,0.00%,-18.91%,-18.91%
Comparison,Return_Ratio,1.00:1,0.86:1,N/A
