Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$17,107.43","+$-6,543.11"
Performance,Total_Return,136.51%,71.07%,+-65.43%
Performance,Annualized_Return,18.80%,11.34%,+-7.46%
Risk,Sharpe_Ratio,N/A,2.86,N/A
Risk,Max_Drawdown,N/A,-6.13%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,121,N/A
Comparison,Alpha,1.00x,0.52x,-47.93%
Comparison,Excess_Return,0.00%,-65.43%,-65.43%
Comparison,Return_Ratio,1.00:1,0.52:1,N/A
