Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$23,412.99",+$-237.55
Performance,Total_Return,136.51%,134.13%,+-2.38%
Performance,Annualized_Return,18.80%,18.56%,+-0.24%
Risk,Sharpe_Ratio,N/A,4.84,N/A
Risk,Max_Drawdown,N/A,-5.89%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,0.98x,-1.74%
Comparison,Excess_Return,0.00%,-2.38%,-2.38%
Comparison,Return_Ratio,1.00:1,0.98:1,N/A
