Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$35,718.52","+$12,067.98"
Performance,Total_Return,136.51%,257.19%,+120.68%
Performance,Annualized_Return,18.80%,29.02%,+10.22%
Risk,Sharpe_Ratio,N/A,5.52,N/A
Risk,Max_Drawdown,N/A,-5.37%,N/A
Trading,Win_Rate,N/A,24.79%,N/A
Trading,Total_Trades,N/A,121,N/A
Comparison,Alpha,1.00x,1.88x,+88.41%
Comparison,Excess_Return,0.00%,+120.68%,+120.68%
Comparison,Return_Ratio,1.00:1,1.88:1,N/A
