Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$27,911.63","+$4,261.09"
Performance,Total_Return,136.51%,179.12%,+42.61%
Performance,Annualized_Return,18.80%,22.81%,+4.00%
Risk,Sharpe_Ratio,N/A,5.07,N/A
Risk,Max_Drawdown,N/A,-5.72%,N/A
Trading,Win_Rate,N/A,23.31%,N/A
Trading,Total_Trades,N/A,133,N/A
Comparison,Alpha,1.00x,1.31x,+31.22%
Comparison,Excess_Return,0.00%,+42.61%,+42.61%
Comparison,Return_Ratio,1.00:1,1.31:1,N/A
