Trade_ID,Date,Bar_Number,Strategy_State,Ticker,Decision,Decision_Reason,Indicator_SMA_fast,Indicator_SMA_slow,Indicator_T_norm,Indicator_z_score,Threshold_leverage_scalar,Threshold_lower_thresh_z,Threshold_upper_thresh_z,Order_Type,Shares,Fill_Price,Position_Value,Slippage,Commission,Portfolio_Value_Before,Portfolio_Value_After,Cash_Before,Cash_After,Allocation_Before,Allocation_After,Cumulative_Return_Pct
11,2010-04-27 05:00:00-07:00,1257,v3.5b Cell 3: Sideways/Low,QQQ,BUY,"Kalman T_norm=-0.002, SMA_fast=48.27 vs SMA_slow=45.24, z_score=-1.007, vol_crush=False",48.2743125,45.24419642857143,-0.0016737443374542369,-1.0068760921739766,1.0,0.2,1.0,MARKET,102,49.38934,5037.71268,0.0,1.02,11729.489537807,11723.436857807,5061.246801807,22.514121807,"CASH: 43.1%, QQQ: 36.6%, TQQQ: 20.3%","QQQ: 79.5%, TQQQ: 20.3%",17.23436857807
12,2010-05-06 05:00:00-07:00,1295,v3.5b Cell 4: Sideways/High,TQQQ,SELL,"Kalman T_norm=-1.000, SMA_fast=48.73 vs SMA_slow=45.57, z_score=1.477, vol_crush=False",48.727250000000005,45.56503571428571,-1.0,1.4772150523875291,1.0,0.2,1.0,MARKET,7666,0.257892849,1977.006580434,0.0,76.66,10803.229687807,10724.590702241,22.514121807,1922.860702241,"QQQ: 81.5%, TQQQ: 18.3%","CASH: 17.9%, QQQ: 82.1%",7.24590702241
13,2010-05-06 05:00:00-07:00,1295,v3.5b Cell 4: Sideways/High,QQQ,SELL,"Kalman T_norm=-1.000, SMA_fast=48.73 vs SMA_slow=45.57, z_score=1.477, vol_crush=False",48.727250000000005,45.56503571428571,-1.0,1.4772150523875291,1.0,0.2,1.0,MARKET,189,46.52343,8792.92827,0.0,1.89,10724.590702241,10713.898972241,1922.860702241,10713.898972241,"CASH: 17.9%, QQQ: 82.1%",CASH: 100.0%,7.13898972241
14,2010-05-06 05:00:00-07:00,1295,v3.5b Cell 4: Sideways/High,TMV,BUY,"Kalman T_norm=-1.000, SMA_fast=48.73 vs SMA_slow=45.57, z_score=1.477, vol_crush=False",48.727250000000005,45.56503571428571,-1.0,1.4772150523875291,1.0,0.2,1.0,MARKET,6,624.62274875,3747.7364925,0.0,0.06,10713.898972241,10710.094979741,10713.898972241,6966.102479741,CASH: 100.0%,"CASH: 65.0%, TMV: 35.0%",7.10094979741
15,2010-05-07 05:00:00-07:00,1301,v3.5b Cell 4: Sideways/High,TMV,SELL,"Kalman T_norm=-1.000, SMA_fast=48.68 vs SMA_slow=45.58, z_score=1.780, vol_crush=False",48.67875,45.58182142857143,-1.0,1.7803953374398447,1.0,0.2,1.0,MARKET,6,643.980375,3863.88225,0.0,0.06,10833.852479741,10829.924729741,6966.102479741,10829.924729741,"CASH: 64.3%, TMV: 35.7%",CASH: 100.0%,8.29924729741
16,2010-05-07 05:00:00-07:00,1301,v3.5b Cell 4: Sideways/High,TMF,BUY,"Kalman T_norm=-1.000, SMA_fast=48.68 vs SMA_slow=45.58, z_score=1.780, vol_crush=False",48.67875,45.58182142857143,-1.0,1.7803953374398447,1.0,0.2,1.0,MARKET,45,94.569475,4255.626375,0.0,0.45,10829.924729741,10825.223354741,10829.924729741,6573.848354741,CASH: 100.0%,"CASH: 60.7%, TMF: 39.3%",8.25223354741
17,2010-06-09 05:00:00-07:00,1411,v3.5b Cell 3: Sideways/Low,TMF,SELL,"Kalman T_norm=-0.368, SMA_fast=47.37 vs SMA_slow=46.07, z_score=1.601, vol_crush=True",47.374,46.066053571428576,-0.3682459272686652,1.6009208884720099,1.0,0.2,1.0,MARKET,45,101.972925,4588.781625,0.0,0.45,11167.223354741,11162.179979741,6573.848354741,11162.179979741,"CASH: 58.9%, TMF: 41.1%",CASH: 100.0%,11.62179979741
18,2010-06-09 05:00:00-07:00,1411,v3.5b Cell 3: Sideways/Low,TQQQ,BUY,"Kalman T_norm=-0.368, SMA_fast=47.37 vs SMA_slow=46.07, z_score=1.601, vol_crush=True",47.374,46.066053571428576,-0.3682459272686652,1.6009208884720099,1.0,0.2,1.0,MARKET,10215,0.208541333,2130.249716595,0.0,102.15,11162.179979741,11057.901858146,11162.179979741,8929.780263146,CASH: 100.0%,"CASH: 80.8%, TQQQ: 19.2%",10.57901858146
19,2010-06-09 05:00:00-07:00,1411,v3.5b Cell 3: Sideways/Low,QQQ,BUY,"Kalman T_norm=-0.368, SMA_fast=47.37 vs SMA_slow=46.07, z_score=1.601, vol_crush=True",47.374,46.066053571428576,-0.3682459272686652,1.6009208884720099,1.0,0.2,1.0,MARKET,201,43.86382,8816.62782,0.0,2.01,11057.901858146,11047.084038146,8929.780263146,111.142443146,"CASH: 80.8%, TQQQ: 19.2%","CASH: 1.0%, QQQ: 79.7%, TQQQ: 19.3%",10.47084038146
20,2010-06-10 05:00:00-07:00,1417,v3.5b Cell 4: Sideways/High,TQQQ,SELL,"Kalman T_norm=-0.332, SMA_fast=47.25 vs SMA_slow=46.07, z_score=1.885, vol_crush=False",47.253,46.06941071428571,-0.3315823224872118,1.8854235152634304,1.0,0.2,1.0,MARKET,10215,0.226075698,2309.36325507,0.0,102.15,11481.887373146,11377.425698216,111.142443146,2318.355698216,"QQQ: 78.9%, TQQQ: 20.1%","CASH: 20.4%, QQQ: 79.6%",13.77425698216
21,2010-06-10 05:00:00-07:00,1417,v3.5b Cell 4: Sideways/High,QQQ,SELL,"Kalman T_norm=-0.332, SMA_fast=47.25 vs SMA_slow=46.07, z_score=1.885, vol_crush=False",47.253,46.06941071428571,-0.3315823224872118,1.8854235152634304,1.0,0.2,1.0,MARKET,201,45.02493,9050.01093,0.0,2.01,11377.425698216,11366.356628216,2318.355698216,11366.356628216,"CASH: 20.4%, QQQ: 79.6%",CASH: 100.0%,13.66356628216
22,2010-06-10 05:00:00-07:00,1417,v3.5b Cell 4: Sideways/High,TMF,BUY,"Kalman T_norm=-0.332, SMA_fast=47.25 vs SMA_slow=46.07, z_score=1.885, vol_crush=False",47.253,46.06941071428571,-0.3315823224872118,1.8854235152634304,1.0,0.2,1.0,MARKET,47,96.096,4516.512,0.0,0.47,11366.356628216,11361.374628216,11366.356628216,6849.374628216,CASH: 100.0%,"CASH: 60.3%, TMF: 39.7%",13.61374628216
23,2010-06-11 05:00:00-07:00,1423,v3.5b Cell 3: Sideways/Low,TMF,SELL,"Kalman T_norm=-0.271, SMA_fast=47.14 vs SMA_slow=46.08, z_score=1.768, vol_crush=True",47.13725,46.077603571428575,-0.2705545238317437,1.767880182556438,1.0,0.2,1.0,MARKET,47,99.86228775,4693.52752425,0.0,0.47,11547.600378216,11542.432152466,6849.374628216,11542.432152466,"CASH: 59.3%, TMF: 40.7%",CASH: 100.0%,15.42432152466
24,2010-06-11 05:00:00-07:00,1423,v3.5b Cell 3: Sideways/Low,TQQQ,BUY,"Kalman T_norm=-0.271, SMA_fast=47.14 vs SMA_slow=46.08, z_score=1.768, vol_crush=True",47.13725,46.077603571428575,-0.2705545238317437,1.767880182556438,1.0,0.2,1.0,MARKET,9507,0.232810578,2213.330165046,0.0,95.07,11542.432152466,11445.15103342,11542.432152466,9234.03198742,CASH: 100.0%,"CASH: 80.7%, TQQQ: 19.3%",14.4515103342
25,2010-06-11 05:00:00-07:00,1423,v3.5b Cell 3: Sideways/Low,QQQ,BUY,"Kalman T_norm=-0.271, SMA_fast=47.14 vs SMA_slow=46.08, z_score=1.768, vol_crush=True",47.13725,46.077603571428575,-0.2705545238317437,1.767880182556438,1.0,0.2,1.0,MARKET,200,45.5455,9109.1,0.0,2.0,11445.15103342,11434.05103342,9234.03198742,122.93198742,"CASH: 80.7%, TQQQ: 19.3%","CASH: 1.1%, QQQ: 79.6%, TQQQ: 19.3%",14.3405103342
26,2010-06-15 05:00:00-07:00,1431,v3.5b Cell 4: Sideways/High,TQQQ,SELL,"Kalman T_norm=-0.059, SMA_fast=46.97 vs SMA_slow=46.11, z_score=1.806, vol_crush=False",46.9665,46.11403214285714,-0.05879614684962182,1.8056767422533333,1.0,0.2,1.0,MARKET,9507,0.251284464,2388.961399248,0.0,95.07,11856.28473942,11758.823386668,122.93198742,2416.823386668,"CASH: 1.0%, QQQ: 78.8%, TQQQ: 20.2%","CASH: 20.6%, QQQ: 79.4%",17.58823386668
27,2010-06-15 05:00:00-07:00,1431,v3.5b Cell 4: Sideways/High,QQQ,SELL,"Kalman T_norm=-0.059, SMA_fast=46.97 vs SMA_slow=46.11, z_score=1.806, vol_crush=False",46.9665,46.11403214285714,-0.05879614684962182,1.8056767422533333,1.0,0.2,1.0,MARKET,200,46.66329,9332.658,0.0,2.0,11758.823386668,11747.481386668,2416.823386668,11747.481386668,"CASH: 20.6%, QQQ: 79.4%",CASH: 100.0%,17.47481386668
28,2010-06-15 05:00:00-07:00,1431,v3.5b Cell 4: Sideways/High,TMF,BUY,"Kalman T_norm=-0.059, SMA_fast=46.97 vs SMA_slow=46.11, z_score=1.806, vol_crush=False",46.9665,46.11403214285714,-0.05879614684962182,1.8056767422533333,1.0,0.2,1.0,MARKET,48,96.7967,4646.2416,0.0,0.48,11747.481386668,11742.359786668,11747.481386668,7100.759786668,CASH: 100.0%,"CASH: 60.5%, TMF: 39.5%",17.42359786668
