Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$28,062.44","+$4,411.90"
Performance,Total_Return,136.51%,180.62%,+44.12%
Performance,Annualized_Return,18.80%,22.94%,+4.14%
Risk,Sharpe_Ratio,N/A,4.69,N/A
Risk,Max_Drawdown,N/A,-5.25%,N/A
Trading,Win_Rate,N/A,23.39%,N/A
Trading,Total_Trades,N/A,124,N/A
Comparison,Alpha,1.00x,1.32x,+32.32%
Comparison,Excess_Return,0.00%,+44.12%,+44.12%
Comparison,Return_Ratio,1.00:1,1.32:1,N/A
