Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$16,735.02","+$-6,915.51"
Performance,Total_Return,136.51%,67.35%,+-69.16%
Performance,Annualized_Return,18.80%,10.86%,+-7.95%
Risk,Sharpe_Ratio,N/A,2.72,N/A
Risk,Max_Drawdown,N/A,-6.70%,N/A
Trading,Win_Rate,N/A,23.39%,N/A
Trading,Total_Trades,N/A,124,N/A
Comparison,Alpha,1.00x,0.49x,-50.66%
Comparison,Excess_Return,0.00%,-69.16%,-69.16%
Comparison,Return_Ratio,1.00:1,0.49:1,N/A
