Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$20,879.27","+$-2,771.27"
Performance,Total_Return,136.51%,108.79%,+-27.71%
Performance,Annualized_Return,18.80%,15.87%,+-2.93%
Risk,Sharpe_Ratio,N/A,3.73,N/A
Risk,Max_Drawdown,N/A,-5.28%,N/A
Trading,Win_Rate,N/A,23.39%,N/A
Trading,Total_Trades,N/A,124,N/A
Comparison,Alpha,1.00x,0.80x,-20.30%
Comparison,Excess_Return,0.00%,-27.71%,-27.71%
Comparison,Return_Ratio,1.00:1,0.80:1,N/A
