Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$28,841.72","+$5,191.18"
Performance,Total_Return,136.51%,188.42%,+51.91%
Performance,Annualized_Return,18.80%,23.61%,+4.81%
Risk,Sharpe_Ratio,N/A,4.72,N/A
Risk,Max_Drawdown,N/A,-6.82%,N/A
Trading,Win_Rate,N/A,25.89%,N/A
Trading,Total_Trades,N/A,112,N/A
Comparison,Alpha,1.00x,1.38x,+38.03%
Comparison,Excess_Return,0.00%,+51.91%,+51.91%
Comparison,Return_Ratio,1.00:1,1.38:1,N/A
