Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$36,274.62","+$12,624.08"
Performance,Total_Return,136.51%,262.75%,+126.24%
Performance,Annualized_Return,18.80%,29.42%,+10.62%
Risk,Sharpe_Ratio,N/A,5.28,N/A
Risk,Max_Drawdown,N/A,-5.38%,N/A
Trading,Win_Rate,N/A,23.39%,N/A
Trading,Total_Trades,N/A,124,N/A
Comparison,Alpha,1.00x,1.92x,+92.48%
Comparison,Excess_Return,0.00%,+126.24%,+126.24%
Comparison,Return_Ratio,1.00:1,1.92:1,N/A
