Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$19,328.71","+$-4,321.83"
Performance,Total_Return,136.51%,93.29%,+-43.22%
Performance,Annualized_Return,18.80%,14.10%,+-4.70%
Risk,Sharpe_Ratio,N/A,3.36,N/A
Risk,Max_Drawdown,N/A,-7.02%,N/A
Trading,Win_Rate,N/A,22.94%,N/A
Trading,Total_Trades,N/A,109,N/A
Comparison,Alpha,1.00x,0.68x,-31.66%
Comparison,Excess_Return,0.00%,-43.22%,-43.22%
Comparison,Return_Ratio,1.00:1,0.68:1,N/A
