Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$36,973.22","+$13,322.69"
Performance,Total_Return,136.51%,269.73%,+133.23%
Performance,Annualized_Return,18.80%,29.91%,+11.11%
Risk,Sharpe_Ratio,N/A,5.26,N/A
Risk,Max_Drawdown,N/A,-7.01%,N/A
Trading,Win_Rate,N/A,25.89%,N/A
Trading,Total_Trades,N/A,112,N/A
Comparison,Alpha,1.00x,1.98x,+97.60%
Comparison,Excess_Return,0.00%,+133.23%,+133.23%
Comparison,Return_Ratio,1.00:1,1.98:1,N/A
