Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$16,485.47","+$-7,165.07"
Performance,Total_Return,136.51%,64.85%,+-71.65%
Performance,Annualized_Return,18.80%,10.52%,+-8.28%
Risk,Sharpe_Ratio,N/A,3.14,N/A
Risk,Max_Drawdown,N/A,-5.42%,N/A
Trading,Win_Rate,N/A,24.62%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,0.48x,-52.49%
Comparison,Excess_Return,0.00%,-71.65%,-71.65%
Comparison,Return_Ratio,1.00:1,0.48:1,N/A
