Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$21,385.14","+$-2,265.40"
Performance,Total_Return,136.51%,113.85%,+-22.65%
Performance,Annualized_Return,18.80%,16.43%,+-2.37%
Risk,Sharpe_Ratio,N/A,4.48,N/A
Risk,Max_Drawdown,N/A,-5.85%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,130,N/A
Comparison,Alpha,1.00x,0.83x,-16.60%
Comparison,Excess_Return,0.00%,-22.65%,-22.65%
Comparison,Return_Ratio,1.00:1,0.83:1,N/A
