Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$22,827.33",+$-823.21
Performance,Total_Return,136.51%,128.27%,+-8.23%
Performance,Annualized_Return,18.80%,17.96%,+-0.84%
Risk,Sharpe_Ratio,N/A,4.42,N/A
Risk,Max_Drawdown,N/A,-5.57%,N/A
Trading,Win_Rate,N/A,23.31%,N/A
Trading,Total_Trades,N/A,133,N/A
Comparison,Alpha,1.00x,0.94x,-6.03%
Comparison,Excess_Return,0.00%,-8.23%,-8.23%
Comparison,Return_Ratio,1.00:1,0.94:1,N/A
