Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$21,879.63","+$-1,770.91"
Performance,Total_Return,136.51%,118.80%,+-17.71%
Performance,Annualized_Return,18.80%,16.96%,+-1.84%
Risk,Sharpe_Ratio,N/A,4.58,N/A
Risk,Max_Drawdown,N/A,-5.58%,N/A
Trading,Win_Rate,N/A,24.81%,N/A
Trading,Total_Trades,N/A,129,N/A
Comparison,Alpha,1.00x,0.87x,-12.97%
Comparison,Excess_Return,0.00%,-17.71%,-17.71%
Comparison,Return_Ratio,1.00:1,0.87:1,N/A
