Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$19,449.57","+$-4,200.96"
Performance,Total_Return,136.51%,94.50%,+-42.01%
Performance,Annualized_Return,18.80%,14.24%,+-4.56%
Risk,Sharpe_Ratio,N/A,3.74,N/A
Risk,Max_Drawdown,N/A,-5.07%,N/A
Trading,Win_Rate,N/A,25.00%,N/A
Trading,Total_Trades,N/A,120,N/A
Comparison,Alpha,1.00x,0.69x,-30.78%
Comparison,Excess_Return,0.00%,-42.01%,-42.01%
Comparison,Return_Ratio,1.00:1,0.69:1,N/A
