Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$17,360.32","+$-6,290.22"
Performance,Total_Return,136.51%,73.60%,+-62.90%
Performance,Annualized_Return,18.80%,11.67%,+-7.13%
Risk,Sharpe_Ratio,N/A,2.88,N/A
Risk,Max_Drawdown,N/A,-7.05%,N/A
Trading,Win_Rate,N/A,25.89%,N/A
Trading,Total_Trades,N/A,112,N/A
Comparison,Alpha,1.00x,0.54x,-46.08%
Comparison,Excess_Return,0.00%,-62.90%,-62.90%
Comparison,Return_Ratio,1.00:1,0.54:1,N/A
