Category,Metric,Baseline,Strategy,Difference
Performance,Initial_Capital,N/A,"$10,000.00",N/A
Performance,Final_Value,"$23,650.54","$20,653.31","+$-2,997.22"
Performance,Total_Return,136.51%,106.53%,+-29.97%
Performance,Annualized_Return,18.80%,15.62%,+-3.18%
Risk,Sharpe_Ratio,N/A,3.74,N/A
Risk,Max_Drawdown,N/A,-6.19%,N/A
Trading,Win_Rate,N/A,22.31%,N/A
Trading,Total_Trades,N/A,121,N/A
Comparison,Alpha,1.00x,0.78x,-21.96%
Comparison,Excess_Return,0.00%,-29.97%,-29.97%
Comparison,Return_Ratio,1.00:1,0.78:1,N/A
